"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_3","MV4_11_6w_1","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"UMP","Com_5596_neg","UMP","C9 H13 N2 O9 P",324.03613,6.565,323.02873,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",20332793.99,29156898.87,29914012.42,25528931.73,26423762.16,29105373.53,24.6852481944497,24.6363190612832,0.0489291331664745,0.815892313975425,0.61364761578186,"stable",0.227328481724221
"6-Phosphogluconic acid","Com_5599_neg","6-Phosphogluconic acid","C6 H13 O10 P",276.02411,5.243,275.01683,"No results","No results","Full match",NA,NA,NA,NA,676695.9967,736491.607600001,839651.3576,796218.496399999,457263.3648,332981.1185,18.9168505063995,19.5126295916638,-0.59577908526434,0.242845694791023,0.404250406338173,"stable",1.09246283283174
"PA 2:0_16:0","Com_5900_neg","PA 2:0_16:0","C21 H41 O8 P",452.25434,10.359,451.24706,"No results","Full match","No results",NA,NA,NA,NA,1103643.39,926292.1217,350857.5888,319246.0263,884442.246199999,2163896.984,19.6946393127054,19.4384921371539,0.256147175551469,0.802710059906425,0.609778721753621,"stable",0.236272929283916
"Cynaropicrin","Com_5918_neg","Cynaropicrin","C19 H22 O6",392.14769,5.697,391.14041,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Guaianolides and derivatives",207771.2011,191597.2596,203536.0876,174483.3824,178798.1335,200853.1845,17.4921613590123,17.6157595531305,-0.123598194118131,0.179485656753384,0.358466924926862,"stable",1.15239036701608
"Carnosine","Com_6051_neg","Carnosine","C9 H14 N4 O3",226.10549,1.346,261.07451,"No results","No results","Full match","Organic acids and derivatives","Peptidomimetics","Hybrid peptides","Hybrid peptides",1070800.65,1037053.753,1031979.885,1026061.012,1084878.243,982288.005899999,19.9745244508638,19.9971003842615,-0.0225759333976434,0.652808842548809,0.567845855554779,"stable",0.432402522885024
"11(Z)-Eicosenoic acid","Com_6068_neg","11(Z)-Eicosenoic acid","C20 H38 O2",356.29256,9.901,355.28529,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",527399.5947,573809.572900001,548632.941800001,470915.6541,668889.4051,583913.0247,19.117303763494,19.0680770572776,0.0492267062164622,0.773294968065753,0.600859865428024,"stable",0.283234334854378
"Hexadecanedioic acid","Com_6071_neg","Hexadecanedioic acid","C16 H30 O4",286.21453,7.033,285.20726,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",8536287.23999999,8829927.722,8612895.466,7289557.008,8093381.698,12581389.37,23.1101662773737,23.0457381269187,0.0644281504549582,0.81462574420039,0.613279221537348,"stable",0.233360901553924
"3,14-dihydro-15-keto-tetranor Prostaglandin E2","Com_6114_neg","3,14-dihydro-15-keto-tetranor Prostaglandin E2","C16 H26 O5",280.16513,7.252,279.15786,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclopentanols",4313547.93,3781776.695,4263875.247,3525612.547,3582301.2,3609647.499,21.7684414151734,21.9716033669238,-0.203161951750371,0.0750939632067374,0.284451624143267,"stable",1.51114307383294
"5-Methoxyindoleacetic acid","Com_6156_neg","5-Methoxyindoleacetic acid","C11 H11 N O3",205.07386,5.425,204.06662,"Full match","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indole-3-acetic acid derivatives",428938.1392,261440.5884,271950.6262,467419.4407,324925.0317,721060.9291,18.8679557415672,18.2531729687011,0.614782772866054,0.211260782059219,0.383146591922296,"stable",1.07004246153298
"Fosfomycin","Com_6174_neg","Fosfomycin","C3 H7 O4 P",138.00823,1.463,183.00651,"No results","No results","Full match","Organic acids and derivatives","Organic phosphonic acids and derivatives","Organic phosphonic acids","Organic phosphonic acids",2235667.758,2553055.752,2251918.519,2055653.134,2985727.629,3219201.282,21.3663626345004,21.1595970612425,0.206765573257972,0.413062359050553,0.486895722133532,"stable",0.781696797268744
"4-Butylresorcinol","Com_6236_neg","4-Butylresorcinol","C10 H14 O2",166.0994,6.018,211.09761,"No results","No results","Full match","Benzenoids","Phenols","Benzenediols","Resorcinols",5080842.58300001,4256964.323,7415064.399,6482614.671,4702825.404,1994807.274,21.9070195566707,22.3733525653636,-0.466333008692921,0.469301935767445,0.510649546408135,"stable",0.679255393110011
"L-Anserine (beta-alanyl-N-methylhistidine) (nitrate salt)","Com_6260_neg","L-Anserine (beta-alanyl-N-methylhistidine) (nitrate salt)","C10 H16 N4 O3",240.11513,7.176,239.10785,"No results","Invalid mass","No results",NA,NA,NA,NA,2576262.217,1931399.901,3161502.957,4582084.403,1955403.269,3419451.521,21.5773136157375,21.2567475422677,0.320566073469806,0.49334940849819,0.519726941055171,"stable",0.636168710690352
"10-Hydroxydecanoic acid","Com_6308_neg","10-Hydroxydecanoic acid","C10 H20 O3",188.14137,5.953,169.12354,"No results","No results","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",2242936.299,3295839.348,2002155.282,4013292.245,3034515.483,5421728.43,21.9465703190539,21.2274313824347,0.719138936619224,0.0922721039458799,0.303511108046828,"stable",1.31004095695034
"Maltotriose","Com_6332_neg","Maltotriose","C18 H32 O16",504.17136,9.191,503.16408,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides",3790103.385,4064332.873,4356801.758,3173574.976,3357391.303,3540050.784,21.67730846135,21.9544103149888,-0.277101853638769,0.021894304586247,0.236756693234977,"down",1.55932159107715
"LPS 17:0","Com_6394_neg","LPS 17:0","C23 H46 N O9 P",511.29119,9.552,510.28392,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",944149.2826,881005.530099999,869914.005999999,2088950.148,2674301.988,3251031.182,21.3258478506334,19.7759867593053,1.5498610913281,0.0114711197856791,0.221003527196326,"up",1.71657915398917
"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-fluoro-1H-benzimidazole","Com_6406_neg","2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-fluoro-1H-benzimidazole","C18 H24 F N3",301.2003,5.62,300.19302,"Invalid mass","No results","No results","Organoheterocyclic compounds","Benzimidazoles","Not available","Benzimidazoles",2468635.127,1753340.743,3179285.148,3091877.585,2675477.876,3813927.782,21.5914210112074,21.1924093790373,0.399011632170147,0.255298489948088,0.411647814918835,"stable",1.00187062729292
"LPC O-14:1","Com_6438_neg","LPC O-14:1","C22 H46 N O6 P",497.31193,9.092,496.30449,"No results","Invalid mass","No results",NA,NA,NA,NA,1496385.27,1812329.441,1296990.055,1002545.705,2759642.678,701341.166999999,20.250347837494,20.5364000079683,-0.286052170474296,0.680261961171338,0.574486965412572,"stable",0.404412396677957
"19-Nortestosterone","Com_6454_neg","19-Nortestosterone","C18 H26 O2",274.19318,8.943,273.1859,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrogens and derivatives",1590005.806,1262819.137,2339299.794,1278437.314,1030444.003,1655366.795,20.3065013870674,20.6754875110468,-0.368986123979386,0.325314672992491,0.447219934356345,"stable",0.869645804706819
"3-Methyluridine","Com_6462_neg","3-Methyluridine","C10 H14 N2 O6",258.08522,4.1,257.07798,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",648324.3591,616416.8327,565069.8241,219765.2266,461639.089400001,399142.2061,18.3895175934846,19.2159908698809,-0.826473276396289,0.123632744711187,0.327871645445056,"stable",1.37599241497659
"Dithranol","Com_6509_neg","Dithranol","C14 H10 O3",226.06302,6.184,225.05576,"No results","No results","Full match","Benzenoids","Anthracenes","Not available","Anthracenes",1415356.273,1261535.059,1638408.209,1665921.245,1083984.528,2302151.522,20.6167842880829,20.4477820369229,0.16900225116003,0.653597755496701,0.568042256765712,"stable",0.434361577818984
"Cyclamic acid","Com_6532_neg","Cyclamic acid","C6 H13 N O3 S",179.06188,5.366,178.0546,"Full match","No results","Full match","Organic acids and derivatives","Sulfamic acid derivatives","Cyclamates","Cyclamates",104137.8625,102805.3141,108682.2663,107484.6445,237767.5785,298729.1134,17.5871472809014,16.6824825062216,0.904664774679734,0.179892584888413,0.358718012020138,"stable",1.25569558133227
"Homo-Gamma-Linolenic Acid (C20:3)","Com_6536_neg","Homo-Gamma-Linolenic Acid (C20:3)","C20 H34 O2",306.25587,10.5,305.24859,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",863541.969400001,728394.8251,468072.1587,213616.3352,623000.0878,1072804.191,18.9954968789997,19.3435464491688,-0.34804957016912,0.67210793778889,0.572555197999908,"stable",0.408108658530196
"15-Keto prostaglandin A1","Com_6564_neg","15-Keto prostaglandin A1","C20 H30 O4",334.21469,7.006,333.20742,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",3045092.797,4967671.3,4494676.803,5373314.809,4839189.596,11250853.9,22.6624153774623,21.9606596662458,0.701755711216521,0.204270639966009,0.377955226134356,"stable",1.10222632167583
"15(R)-Prostaglandin E2","Com_6576_neg","15(R)-Prostaglandin E2","C20 H32 O5",352.22525,7.097,351.21797,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1124569.474,1688819.733,1748890.029,1616909.744,1705420.342,4881379.509,21.1817870493433,20.5088444716489,0.672942577694364,0.325708987665946,0.447407493457953,"stable",0.912384304080054
"PC 14:0_20:4","Com_6608_neg","PC 14:0_20:4","C42 H76 N O8 P",799.53702,8.851,798.52975,"No results","Invalid mass","No results",NA,NA,NA,NA,10031964.3,10677887.75,4001541.231,1046823.064,1432792.88,8959577.333,21.1809946906632,22.8461160265171,-1.66512133585389,0.221653424828114,0.390495603355364,"stable",1.08552141608123
"LPS 20:1","Com_6634_neg","LPS 20:1","C26 H50 N O9 P",551.32215,10.765,550.31518,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",2560096.855,2267002.891,1303276.567,1858014.5,4945524.535,325569.4591,20.4585427629538,20.9046112000648,-0.446068437111002,0.739168886198048,0.590185915812979,"stable",0.326393752091931
"PC O-16:0_14:1","Com_6736_neg","PC O-16:0_14:1","C38 H76 N O7 P",735.53893,11.072,734.53165,"No results","Invalid mass","No results",NA,NA,NA,NA,1598765.63,1592436.324,783978.554500001,888226.1534,367006.7203,4367028.758,20.1014116939747,20.2639286507084,-0.162516956733665,0.893934019593241,0.635067890632068,"stable",0.130162850044734
"2,4-Dihydroxybenzoic acid","Com_6881_neg","2,4-Dihydroxybenzoic acid","C7 H6 O4",154.02415,4.679,153.01665,"Invalid mass","No results","No results","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",1743321.375,1517899.138,1595031.093,1738664.492,1676461.053,1761397.441,20.7182749048875,20.6240682447941,0.0942066600934446,0.243525166265833,0.404666374118528,"stable",1.06632937020079
"2-Deoxyuridine","Com_6883_neg","2-Deoxyuridine","C9 H12 N2 O5",228.07469,4.967,227.06743,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides","Pyrimidine 2'-deoxyribonucleosides",2324598.421,2688405.1,2627264.508,3571675.404,702407.9683,592929.7207,20.1225402722562,21.2773330728712,-1.15479280061503,0.296588061565635,0.433167467180515,"stable",1.01010563069617
"L-Arabinitol","Com_6945_neg","L-Arabinitol","C5 H12 O5",152.06851,5.952,189.01712,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",5994943.852,6214412.69900001,4642324.445,5169836.584,6711476.47600001,5801463.049,22.4826237813432,22.4096391191677,0.0729846621755321,0.693096994331459,0.577460891030786,"stable",0.367647374675293
"LPA 20:4","Com_6965_neg","LPA 20:4","C23 H39 O7 P",458.24301,9.453,457.23573,"No results","Full match","No match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",6354684.243,4931006.997,3978808.282,998140.6416,3384387.336,895509.445999999,20.4638986568052,22.2522482779583,-1.78834962115309,0.089327335152071,0.300608425374102,"stable",1.43252401151286
"Neohesperidin","Com_7024_neg","Neohesperidin","C28 H34 O15",610.1906,5.598,609.18333,"Full match","No results","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides",300679.2191,478286.5933,178457.1604,280950.6424,2017006.822,819212.0527,19.5625397073259,18.1701999088989,1.39233979842704,0.228743618082894,0.395272685740975,"stable",1.06675051907864
"Resolvin E1","Com_7033_neg","Resolvin E1","C20 H30 O5",350.20939,6.379,349.20212,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Hydroxyeicosapentaenoic acids",455339.7623,547995.16,409421.4597,527165.035199999,355269.6139,567579.3357,18.8536374914074,18.8345382481921,0.0190992432152974,0.942009898179369,0.647120158336184,"stable",0.0693260959993849
"LPG O-15:0","Com_7038_neg","LPG O-15:0","C21 H45 O8 P",456.28544,8.881,455.27817,"No results","Full match","No results",NA,NA,NA,NA,851747.7196,942853.190699999,767361.2184,649301.427300001,888702.679300001,632185.417000001,19.4466194659389,19.6987622025333,-0.252142736594472,0.252454676042845,0.40999967539939,"stable",1.01504988312445
"1,2,3-Benzenetricarboxylic acid","Com_7054_neg","1,2,3-Benzenetricarboxylic acid","C9 H6 O6",210.01662,5.284,209.00934,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters",166948.5635,165523.8878,173547.1788,182673.2541,180372.4827,225007.4436,17.5730462771475,17.3635641508161,0.209482126331402,0.17576477136481,0.3561340326463,"stable",1.24440657744549
"LPS 14:0","Com_7064_neg","LPS 14:0","C20 H40 N O9 P",469.24411,8.612,468.23684,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",251936.8797,365794.9733,229747.6523,191552.519,216697.9926,182844.2083,17.5843207131371,18.0776897061603,-0.49336899302314,0.125935058384115,0.32929331455945,"stable",1.32432659388781
"LPE O-22:2","Com_7067_neg","LPE O-22:2","C27 H54 N O6 P",519.36867,11.461,518.3614,"No results","Full match","No results",NA,NA,NA,NA,3107259.934,2687027.192,1966328.803,1496781.783,2411904.313,3763645.22,21.1862909748342,21.2772880490051,-0.0909970741708861,0.846339881361366,0.622297078939528,"stable",0.185601913917292
"trans-Petroselinic Acid","Com_7073_neg","trans-Petroselinic Acid","C18 H34 O2",328.2611,9.119,327.25382,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",1478640.132,1654961.844,2179915.582,1698986.042,1454917.885,2633749.061,20.8324784443558,20.7366823019696,0.095796142386142,0.772041250697265,0.600470662293033,"stable",0.273528549127408
"5-Dehydroquinic acid","Com_7122_neg","5-Dehydroquinic acid","C7 H10 O6",190.04789,4.979,189.04057,"No results","Full match","No results","Organic acids and derivatives","Hydroxy acids and derivatives","Alpha hydroxy acids and derivatives","Alpha hydroxy acids and derivatives",1516125.091,1611350.156,1777044.474,1846789.489,2225170.503,2501707.126,21.0521846414488,20.6376147737729,0.414569867675933,0.0630044669438819,0.272227653406726,"stable",1.45108660565503
"LPC 20:1","Com_7124_neg","LPC 20:1","C28 H56 N O7 P",595.38539,10.508,594.37811,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",3991429.426,3616532.517,2224041.772,1509098.981,4137224.164,2156477.827,21.1819110509835,21.5998007395902,-0.417889688606699,0.458796085932326,0.506493726555035,"stable",0.681775978692187
"Prostaglandin G2","Com_7190_neg","Prostaglandin G2","C20 H32 O6",368.21987,6.546,349.20199,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1275093.905,947518.1335,980522.5239,618305.333,923407.360200001,555623.1975,19.3794383126308,20.0130524474587,-0.633614134827855,0.0857508335575986,0.296897596342927,"stable",1.36360675319266
"Pantetheine","Com_7305_neg","Pantetheine","C11 H22 N2 O4 S",278.13026,5.224,277.12266,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Beta amino acids and derivatives",293603.3151,747127.394900001,408931.8733,336489.2744,1666635.748,344957.6893,19.1415894291252,18.7720014861051,0.369587943020118,0.696204686692176,0.578168975348142,"stable",0.371362394264423
"Ribulose-5-phosphate","Com_7306_neg","Ribulose-5-phosphate","C5 H11 O8 P",230.01916,1.195,211.00121,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",2541791.458,2276627.437,2874285.442,2606231.052,4013699.214,2249563.759,21.4504161535832,21.2835509787952,0.166865174788033,0.585097249393769,0.549625906596699,"stable",0.523633033384883
"Docosapentaenoic acid","Com_7336_neg","Docosapentaenoic acid","C22 H34 O2",330.25589,10.191,329.24861,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",1101405.851,958650.332200001,681033.343299999,203617.1485,665717.280100001,760238.827500001,18.8387142730344,19.772975272669,-0.93426099963456,0.258233471138713,0.413324209852081,"stable",1.04322893948081
"Taurocholic acid","Com_7417_neg","Taurocholic acid","C26 H45 N O7 S",515.29214,6.807,514.28487,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives",3995872.936,3978463.087,4091391.362,4126944.106,3377497.194,1453057.641,21.3782753706863,21.9393397246966,-0.561064354010373,0.348026405106524,0.457559622711021,"stable",0.917448027313532
"cis-2-Decenoic acid","Com_7439_neg","cis-2-Decenoic acid","C10 H18 O2",170.13081,5.95,169.12353,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",3894684.058,3067353.295,2002155.282,3662630.523,2812552.488,4993692.122,21.8265242593688,21.4582534074542,0.368270851914644,0.375993725630036,0.470321498654679,"stable",0.788856463941663
"LPS 18:2","Com_7496_neg","LPS 18:2","C24 H44 N O9 P",521.27396,9.267,520.26669,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",1487273.053,1465555.497,981706.910799999,804360.348800001,225286.2801,1170616.026,19.1859062915208,20.2973957084351,-1.1114894169143,0.258965783470129,0.413738661160697,"stable",1.05556851280071
"19(R)-Hydroxy prostaglandin F2α","Com_7505_neg","19(R)-Hydroxy prostaglandin F2α","C20 H34 O6",352.2251,6.342,351.21782,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",3031968.683,6827892.93099999,4400686.141,877422.797999999,168687.4493,790935.5544,18.9000354673462,22.1013764924146,-3.2013410250684,0.0370705404679944,0.252028271787085,"down",1.56403228814849
"Deoxyribose 5-Phosphate","Com_7507_neg","Deoxyribose 5-Phosphate","C5 H11 O7 P",214.02432,1.375,213.01705,"No results","No results","Full match",NA,NA,NA,NA,4510299.13,5025053.785,4398074.555,945297.7372,4059970.211,4551179.11,21.3070853069759,22.1446466416814,-0.837561334705498,0.369849964521838,0.467497204927489,"stable",0.876968974946404
"DY131","Com_7521_neg","DY131","C18 H21 N3 O2",311.16369,8.087,310.15642,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acids and derivatives",1101804.769,15052383.7,1022832.097,886347.5801,1239709.192,918301.5552,19.9358972680828,21.2930212416659,-1.35712397358315,0.398919863895197,0.480361541795814,"stable",0.824969940663762
"CerP 15:0;2O/2:0","Com_7522_neg","CerP 15:0;2O/2:0","C17 H36 N O6 P",381.22781,8.164,380.22054,"No results","Full match","No results",NA,NA,NA,NA,1880690.663,2047341.384,1789773.141,1820208.733,2442844.881,1418978.859,20.817408320318,20.8598322329976,-0.042423912679638,0.870892993785216,0.628994988583113,"stable",0.159835865182711
"6α-Prostaglandin I1","Com_7629_neg","6α-Prostaglandin I1","C20 H34 O5",336.23036,7.33,335.22308,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",3055929.938,3501369.805,3075446.407,2808209.285,3293836.892,3146526.183,21.5526284099631,21.6116774848594,-0.0590490748962793,0.56273977831799,0.542952970471599,"stable",0.531122565190613
"Boc-beta-cyano-L-alanine","Com_7657_neg","Boc-beta-cyano-L-alanine","C9 H14 N2 O4",214.0954,5.208,213.08812,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",590412.749500001,390443.1717,415538.2959,1842867.693,911197.818200001,1337674.739,20.32074058831,18.8035797741381,1.51716081417196,0.0173237487980718,0.229983136886912,"up",1.60600067253007
"(±)9-HpODE","Com_7661_neg","(±)9-HpODE","C18 H32 O4",312.23019,8.328,311.22291,"Full match","No results","Full match",NA,NA,NA,NA,3975361.606,3372390.309,3754716.016,3199554.794,4321222.586,5076645.34900001,21.9759639684548,21.8160890393895,0.159874929065243,0.506613821939823,0.524490923626689,"stable",0.635868696017959
"Soyasaponin I","Com_7743_neg","Soyasaponin I","C48 H78 O18",942.52101,7.241,941.51373,"Full match","No results","No results","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene saponins",166272.4738,159448.2737,158931.7654,131563.345,140927.1528,129181.1413,17.0296746984213,17.3013222518979,-0.271647553476587,0.00753047133604027,0.21553868571716,"down",1.681962870823
"4-Amino-5-imidazolecarboxamide","Com_7770_neg","4-Amino-5-imidazolecarboxamide","C4 H6 N4 O",126.0542,5.2,107.03637,"No results","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Aminoimidazoles",1698872.22,1521109.487,2250869.69,2869543.347,2267254.968,2786508.877,21.3249774220254,20.7782965298345,0.546680892190871,0.0622226306142763,0.271744069209965,"stable",1.42714037869213
"LPE 20:2","Com_7881_neg","LPE 20:2","C25 H48 N O7 P",505.31661,9.937,504.30965,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",1772823.674,1087505.476,853801.1914,827370.859499999,1549808.309,2413541.329,20.474851024808,20.1712498354852,0.303601189322723,0.610560161106874,0.556809235012249,"stable",0.474091195683227
"LPC 18:2","Com_7927_neg","LPC 18:2","C26 H50 N O7 P",565.33831,9.208,564.33103,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",1896758.037,1544101.399,1151906.275,605574.4987,2776288.593,1437710.208,20.3560041725005,20.516344063577,-0.160339891076486,0.829477517740749,0.617555313822527,"stable",0.210037064496536
"FAHFA 18:0/3:0","Com_7933_neg","FAHFA 18:0/3:0","C21 H40 O4",356.29286,11.312,355.28558,"No results","Full match","Full match",NA,NA,NA,NA,122215.469,129285.9345,114255.5768,92038.0973400001,102837.8605,108924.6114,16.624308651783,16.8937260788058,-0.26941742702277,0.0425634285848856,0.255091710863122,"down",1.47891991139234
"Dihydroxyacetone phosphate","Com_7935_neg","Dihydroxyacetone phosphate","C3 H7 O6 P",123.99249,1.414,122.98524,"No results","Invalid mass","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",26083835.62,30793066.26,27815319.53,28838031.77,24680694.11,14204258.63,24.3660563993144,24.7473770790594,-0.381320679744928,0.343234570755922,0.455453930369708,"stable",0.908966082024889
"Lysope 16:0","Com_7943_neg","Lysope 16:0","C21 H44 N O7 P",453.28574,8.463,452.27847,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-(1Z-alkenyl)-glycero-3-phosphoethanolamines",1221048.527,1027077.522,746797.682400001,617173.603099999,1319135.259,1125547.741,19.889557907668,19.9000535594731,-0.0104956518050443,0.980213037927518,0.656144276577033,"stable",0.0235800015117046
"trans-10-Heptadecenoic acid","Com_7944_neg","trans-10-Heptadecenoic acid","C17 H32 O2",314.24567,7.877,313.23844,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",3132662.524,3151357.765,3221089.725,2627280.818,3073030.884,3308279.883,21.5113398928745,21.5952058214206,-0.0838659285460821,0.483015617568405,0.515897957708112,"stable",0.690182069400149
"o-Cresol","Com_7947_neg","o-Cresol","C7 H8 O",108.05759,5.229,107.05031,"No results","No results","Full match","Benzenoids","Phenols","Cresols","Ortho cresols",1551291.898,1469329.663,1758022.286,1865272.402,1948705.178,2435412.007,20.9802579139342,20.5990957874955,0.381162126438682,0.0647136090728783,0.273468915562335,"stable",1.41776670243476
"Dl-3-Hydroxy-kynurenine","Com_7967_neg","Dl-3-Hydroxy-kynurenine","C10 H12 N2 O4",224.0797,5.152,223.07239,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Alkyl-phenylketones",204958.4764,187179.3697,251117.3199,615934.2445,3233146.276,3056569.588,20.8001353823552,17.6990120169267,3.10112336542845,0.0551131675556746,0.266816981969472,"stable",1.57227407703503
"LPA 12:0","Com_7983_neg","LPA 12:0","C15 H31 O7 P",354.17969,7.918,353.17242,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",180288.275,170365.5063,163841.1299,147484.5595,167851.2095,195647.1556,17.3683074717736,17.3867192773336,-0.0184118055600173,0.893670607404202,0.634999586981862,"stable",0.130312002851393
"N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide","Com_8064_neg","N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide","C16 H16 N2 O3",284.11762,7.15,283.11035,"Invalid mass","No results","No results",NA,NA,NA,NA,2479600.984,5137794.28,3861885.543,3598745.307,2404964.349,6121921.794,21.84073327769,21.8050894072062,0.0356438704837849,0.946331790476325,0.648164740876349,"stable",0.0634515379195261
"4-(beta-D-Glucopyranosyloxy)-2-methylenebutanoic acid","Com_8212_neg","4-(beta-D-Glucopyranosyloxy)-2-methylenebutanoic acid","C11 H18 O8",278.09791,6.701,277.09064,"Invalid mass","No results","No results",NA,NA,NA,NA,5732575.47,3620178.77,3749306.015,2344654.95,3357756.451,1987889.453,21.2542721513495,22.0255245582081,-0.771252406858661,0.0669782867454352,0.275225545431328,"stable",1.37916976119008
"Gamma-Glu-Leu","Com_8356_neg","Gamma-Glu-Leu","C11 H20 N2 O5",260.13713,4.126,259.12985,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",1307353.862,1303869.612,2080346.426,2219691.721,1478321.834,3763963.519,21.140426019519,20.5403262645162,0.600099755002713,0.269646042888925,0.419615422430934,"stable",0.979926078737409
