"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-(4-chlorophenethyl)-N'-(4-chlorophenyl)urea","Com_5535_neg","N-(4-chlorophenethyl)-N'-(4-chlorophenyl)urea","C15 H14 Cl2 N2 O",354.05627,11.963,353.04899,"Invalid mass","No results","No results",NA,NA,NA,NA,24951681,26464991.71,22038640.78,37224098.24,30171930.09,22285423.49,13993329.3,26603138.38,17462618.3,24.4778549733538,24.5412491524985,-0.0633941791446269,0.788284880533228,0.927696783682818,"stable",0.202989000764596
"N-Acetyl-L-histidine","Com_5592_neg","N-Acetyl-L-histidine","C8 H11 N3 O3",197.08019,1.465,196.07303,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",2608557.29,3376317.376,1635340.244,3052943.388,2516060.011,2406830.374,1364343.618,2645474.052,1042326.402,20.9515755813309,21.2143330603601,-0.262757479029197,0.538144189433528,0.897532468162214,"stable",0.616014434752611
"2,3-dihydro-5-nitro-2-spiro(cyclohexyl)benzimidazole","Com_5594_neg","2,3-dihydro-5-nitro-2-spiro(cyclohexyl)benzimidazole","C12 H15 N3 O2",233.11633,6.529,232.10872,"Full match","No results","No results",NA,NA,NA,NA,1384702.188,1121007.066,926555.794699999,1025215.552,1725940.247,1287154.989,1498608.677,1842015.418,780593.974700001,20.3140766773561,20.1063421879897,0.207734489366349,0.445894870635659,0.878900586337344,"stable",0.669899023443673
"UMP","Com_5596_neg","UMP","C9 H13 N2 O9 P",324.03613,6.565,323.02873,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",26960562.82,26267345.21,19669919.91,31384025.76,4023257.129,94575485.42,29105373.53,32943097.69,16638378.65,24.5157815239459,24.5202006958473,-0.0044191719014357,0.994648763081263,0.941825146590486,"stable",0.00495095175324639
"6-Phosphogluconic acid","Com_5599_neg","6-Phosphogluconic acid","C6 H13 O10 P",276.02411,5.243,275.01683,"No results","No results","Full match",NA,NA,NA,NA,342915.2476,331721.4805,468594.2738,515896.1851,556747.9567,430345.306,332981.1185,354947.0215,480489.2801,18.7391651733571,18.5216950796277,0.217470093729379,0.332303515244615,0.843964321290196,"stable",0.991411921025283
"PA 2:0_16:0","Com_5900_neg","PA 2:0_16:0","C21 H41 O8 P",452.25434,10.359,451.24706,"No results","Full match","No results",NA,NA,NA,NA,250622.2282,163961.5763,925835.853299999,674266.9428,438522.7899,685412.5988,2163896.984,1021913.198,2951294.324,19.998803968705,18.359516665591,1.63928730311399,0.144291548627772,0.701366325280522,"stable",1.63097803582708
"Cynaropicrin","Com_5918_neg","Cynaropicrin","C19 H22 O6",392.14769,5.697,391.14041,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Guaianolides and derivatives",176766.2801,185247.8595,131050.9457,193195.5592,192968.0882,159343.1335,200853.1845,164593.8629,91365.0593100001,17.3038617067011,17.3101163844174,-0.0062546777162602,0.979510001358459,0.94097909518447,"stable",0.0230294426793346
"Carnosine","Com_6051_neg","Carnosine","C9 H14 N4 O3",226.10549,1.346,261.07451,"No results","No results","Full match","Organic acids and derivatives","Peptidomimetics","Hybrid peptides","Hybrid peptides",1004669.987,957582.6075,730608.4029,948339.785400001,1083227.789,883325.2362,982288.005899999,980037.786899999,452525.8374,19.7084066689638,19.7620221659712,-0.0536154970073959,0.827249643391442,0.930866939961275,"stable",0.185805326377967
"11(Z)-Eicosenoic acid","Com_6068_neg","11(Z)-Eicosenoic acid","C20 H38 O2",356.29256,9.901,355.28529,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",809725.543799999,427550.9157,1458172.158,346644.0573,370563.5681,311278.1288,583913.0247,520941.436600001,1461193.571,18.9625288719576,19.6028466015812,-0.640317729623611,0.356734478308629,0.853080427863588,"stable",1.00882350577431
"Hexadecanedioic acid","Com_6071_neg","Hexadecanedioic acid","C16 H30 O4",286.21453,7.033,285.20726,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",10563869.49,9523031.157,10454216.17,8234743.901,8609612.73100001,8056466.353,12581389.37,8784461.07,5688365.562,23.0072363410585,23.2777353433954,-0.270499002336962,0.135069583467094,0.68735162992244,"stable",1.12591329201164
"3,14-dihydro-15-keto-tetranor Prostaglandin E2","Com_6114_neg","3,14-dihydro-15-keto-tetranor Prostaglandin E2","C16 H26 O5",280.16513,7.252,279.15786,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclopentanols",3522410.677,2879830.519,3915341.235,2754632.563,2831190.13,2075093.467,3609647.499,2668827.978,1521001.138,21.2464902956294,21.7021302630486,-0.455639967419206,0.0765432907505846,0.568559261017177,"stable",1.4340462293883
"5-Methoxyindoleacetic acid","Com_6156_neg","5-Methoxyindoleacetic acid","C11 H11 N O3",205.07386,5.425,204.06662,"Full match","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indole-3-acetic acid derivatives",841528.951200001,866521.0148,568397.683,1341208.119,1061529.677,927075.528100001,721060.9291,1156244.89,787382.688600001,19.897104165235,19.5080232468208,0.389080918414201,0.179003462208827,0.744479356969027,"stable",1.39634164261493
"Fosfomycin","Com_6174_neg","Fosfomycin","C3 H7 O4 P",138.00823,1.463,183.00651,"No results","No results","Full match","Organic acids and derivatives","Organic phosphonic acids and derivatives","Organic phosphonic acids","Organic phosphonic acids",2886924.485,3563361.818,1971524.502,2766357.934,2820127.792,2630314.58,3219201.282,1804890.834,434747.1237,20.8808763161959,21.3789298995776,-0.498053583381761,0.362141780163703,0.854955963770295,"stable",0.721408665048099
"4-Butylresorcinol","Com_6236_neg","4-Butylresorcinol","C10 H14 O2",166.0994,6.018,211.09761,"No results","No results","Full match","Benzenoids","Phenols","Benzenediols","Resorcinols",6551716.53000001,4515619.861,3510605.551,4554107.485,5039014.622,7050906.25200001,1994807.274,6568365.842,4078278.7,22.1112123869014,22.16440753058,-0.0531951436785505,0.891641315825075,0.93553768961113,"stable",0.125806215158177
"L-Anserine (beta-alanyl-N-methylhistidine) (nitrate salt)","Com_6260_neg","L-Anserine (beta-alanyl-N-methylhistidine) (nitrate salt)","C10 H16 N4 O3",240.11513,7.176,239.10785,"No results","Invalid mass","No results",NA,NA,NA,NA,2936038.996,2728374.709,1566541.879,3518006.442,2429693.034,2645367.839,3419451.521,2711987.877,1022579.455,21.2222900918304,21.148067323615,0.0742227682154599,0.856363323813272,0.933059918419705,"stable",0.173132944443402
"10-Hydroxydecanoic acid","Com_6308_neg","10-Hydroxydecanoic acid","C10 H20 O3",188.14137,5.953,169.12354,"No results","No results","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",4617221.493,4248011.32100001,2807659.972,4045076.185,3386013.762,2741770.358,5421728.43,3423131.711,1870084.26,21.6562411330114,21.8592954953184,-0.203054362306911,0.534857991119069,0.896967767376496,"stable",0.584838774891674
"Maltotriose","Com_6332_neg","Maltotriose","C18 H32 O16",504.17136,9.191,503.16408,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides",3657259.961,2630098.84,505309.2485,2441769.637,2538132.522,2798276.396,3540050.784,2899349.282,676558.9972,21.0835718723011,20.6919414647292,0.391630407571949,0.711322255180236,0.920495782257059,"stable",0.502267521796356
"LPS 17:0","Com_6394_neg","LPS 17:0","C23 H46 N O9 P",511.29119,9.552,510.28392,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",474398.5777,820235.9736,511797.4478,1139359.112,754317.8579,1088340.834,3251031.182,3019331.07,2246617.057,20.6593149097991,19.1555443597066,1.50377055009245,0.0106676845147423,0.321371258163092,"up",1.92535831679234
"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-fluoro-1H-benzimidazole","Com_6406_neg","2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-fluoro-1H-benzimidazole","C18 H24 F N3",301.2003,5.62,300.19302,"Invalid mass","No results","No results","Organoheterocyclic compounds","Benzimidazoles","Not available","Benzimidazoles",4445973.657,4208329.962,2428355.078,2916927.353,3056085.863,2444696.746,3813927.782,3245371.546,1752811.695,21.4124222769001,21.7668107748961,-0.354388497996005,0.341752755758157,0.847621200395704,"stable",1.10350807132643
"LPC O-14:1","Com_6438_neg","LPC O-14:1","C22 H46 N O6 P",497.31193,9.092,496.30449,"No results","Invalid mass","No results",NA,NA,NA,NA,290392.5963,323398.867,420433.8903,710162.595400001,348224.9893,771846.5408,701341.166999999,474221.8578,754007.7353,19.2007639825191,18.3773732286652,0.823390753853896,0.0140579388511576,0.350682930603813,"up",1.93559616835506
"19-Nortestosterone","Com_6454_neg","19-Nortestosterone","C18 H26 O2",274.19318,8.943,273.1859,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrogens and derivatives",2701482.161,1526784.024,2295592.311,2935982.503,1654517.231,1434608.149,1655366.795,2349390.343,408841.4855,20.5098954483479,21.01260643539,-0.502710987042171,0.323385930836011,0.840348479331832,"stable",0.790549123981367
"3-Methyluridine","Com_6462_neg","3-Methyluridine","C10 H14 N2 O6",258.08522,4.1,257.07798,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",4173352.702,5619297.887,3006455.128,1754632.166,1912691.171,2055595.981,399142.2061,2297972.002,970910.053999999,20.3680810408253,21.9781219559426,-1.61004091511734,0.0113875475491318,0.328570107094319,"down",1.90091796737422
"Dithranol","Com_6509_neg","Dithranol","C14 H10 O3",226.06302,6.184,225.05576,"No results","No results","Full match","Benzenoids","Anthracenes","Not available","Anthracenes",2401843.788,1892100.96,1593998.44,1726622.148,2029212.746,3308366.165,2302151.522,2635385.494,960406.196499999,20.944519379863,20.8838291066562,0.0606902732068377,0.847499830878733,0.932407153034658,"stable",0.159339306596284
"Cyclamic acid","Com_6532_neg","Cyclamic acid","C6 H13 N O3 S",179.06188,5.366,178.0546,"Full match","No results","Full match","Organic acids and derivatives","Sulfamic acid derivatives","Cyclamates","Cyclamates",145688.1769,64574.57412,512914.2188,62626.80576,63578.37021,59279.24798,298729.1134,58038.68821,738991.511600001,16.8757307491979,17.3665203067056,-0.490789557507689,0.672284947479681,0.916265804167016,"stable",0.443939314138738
"Homo-Gamma-Linolenic Acid (C20:3)","Com_6536_neg","Homo-Gamma-Linolenic Acid (C20:3)","C20 H34 O2",306.25587,10.5,305.24859,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",588246.915999999,470422.7331,881168.3989,1033234.632,357075.2479,1112816.463,1072804.191,1729973.41,1738776.34,19.9992173396628,19.2529062706715,0.746311068991332,0.129046133972141,0.678205895401959,"stable",1.26057723179227
"15-Keto prostaglandin A1","Com_6564_neg","15-Keto prostaglandin A1","C20 H30 O4",334.21469,7.006,333.20742,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",5553840.872,5515278.984,2731420.437,2687500.98,5501571.487,2941954.905,11250853.9,6957997.98099999,3086156.523,22.1581236155822,22.0604256047281,0.0976980108540495,0.845583868877578,0.93226437216313,"stable",0.18150701960729
"15(R)-Prostaglandin E2","Com_6576_neg","15(R)-Prostaglandin E2","C20 H32 O5",352.22525,7.097,351.21797,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",4348763.118,2569978.191,4627957.121,1883617.635,1759129.361,1659250.48,4881379.509,1519946.424,1282419.427,20.8830813996555,21.8291474826669,-0.946066083011424,0.0511017381561045,0.485959211581928,"stable",1.67740408138038
"PC 14:0_20:4","Com_6608_neg","PC 14:0_20:4","C42 H76 N O8 P",799.53702,8.851,798.52975,"No results","Invalid mass","No results",NA,NA,NA,NA,10188834.19,7447513.112,6368177.146,14027148.53,26768568.16,19148461.13,8959577.333,13448824.37,6237804.824,23.6591771897881,22.9037540056783,0.75542318410977,0.0776943880169548,0.57192377243047,"stable",1.39433962772959
"LPS 20:1","Com_6634_neg","LPS 20:1","C26 H50 N O9 P",551.32215,10.765,550.31518,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",166575.0931,358244.3469,632444.6463,1152888.9,456666.6733,628665.3716,325569.4591,948370.1394,614213.812,19.2659358006143,18.3556590926473,0.910276707966993,0.23874742310298,0.795334031202718,"stable",1.43503521075299
"PC O-16:0_14:1","Com_6736_neg","PC O-16:0_14:1","C38 H76 N O7 P",735.53893,11.072,734.53165,"No results","Invalid mass","No results",NA,NA,NA,NA,819491.3614,1016811.519,523931.4274,1566280.547,3550635.519,5486327.24,4367028.758,1744522.477,102766.1839,20.6945989574671,19.5330028472276,1.16159611023949,0.247407681922275,0.801073020730454,"stable",0.871412601967282
"2,4-Dihydroxybenzoic acid","Com_6881_neg","2,4-Dihydroxybenzoic acid","C7 H6 O4",154.02415,4.679,153.01665,"Invalid mass","No results","No results","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",5349616.166,4985502.713,3530167.728,4241063.428,2995398.632,3158263.918,1761397.441,4824617.10400001,1501784.648,21.4315883492668,22.1172056025658,-0.685617253298947,0.0776112402717572,0.571682769496128,"stable",1.40328072112943
"2-Deoxyuridine","Com_6883_neg","2-Deoxyuridine","C9 H12 N2 O5",228.07469,4.967,227.06743,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides","Pyrimidine 2'-deoxyribonucleosides",487411.4708,626264.1635,661304.3468,2221479.574,1496115.546,825895.2419,592929.7207,1212427.533,1953428.027,20.2560040393429,19.1620491127769,1.09395492656601,0.0138259099424959,0.34900200788043,"up",1.81588930675498
"L-Arabinitol","Com_6945_neg","L-Arabinitol","C5 H12 O5",152.06851,5.952,189.01712,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",5502625.39300001,5197984.55999999,3985732.276,5021661.041,5127147.70599999,4419534.331,5801463.049,5489580.09400001,2840765.707,22.1531698861591,22.2092076598643,-0.05603777370521,0.798174409009888,0.928528606235283,"stable",0.232388281698511
"LPA 20:4","Com_6965_neg","LPA 20:4","C23 H39 O7 P",458.24301,9.453,457.23573,"No results","Full match","No match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",4889481.069,3931664.874,4467544.995,1910298.805,1492079.473,1986607.902,895509.445999999,2516032.382,1228901.029,20.5933568412091,22.0730032264697,-1.47964638526056,0.000617608416248214,0.0548721825024487,"down",2.30921336932073
"Neohesperidin","Com_7024_neg","Neohesperidin","C28 H34 O15",610.1906,5.598,609.18333,"Full match","No results","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides",972594.970600001,583130.5282,1036527.626,289933.4067,329054.4414,596481.669399999,819212.0527,696197.330300001,1090036.351,19.1280676804414,19.6760886902834,-0.548021009841964,0.220341266512335,0.781964991386027,"stable",1.05907964668132
"Resolvin E1","Com_7033_neg","Resolvin E1","C20 H30 O5",350.20939,6.379,349.20212,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Hydroxyeicosapentaenoic acids",1847609.067,296152.1329,738685.827100001,535848.077399999,268196.385,433978.872199999,567579.3357,545947.7586,450132.8508,18.7907528839799,19.4959361411316,-0.705183257151724,0.454219656159665,0.880855618463442,"stable",1.15896755719059
"LPG O-15:0","Com_7038_neg","LPG O-15:0","C21 H45 O8 P",456.28544,8.881,455.27817,"No results","Full match","No results",NA,NA,NA,NA,585774.7093,554085.1912,1981986.447,12612849.32,590404.988900001,578677.3753,632185.417000001,538474.273400001,2371876.609,20.2313732739503,19.7194167770811,0.511956496869157,0.611042423801415,0.908640160686324,"stable",0.438402792347265
"1,2,3-Benzenetricarboxylic acid","Com_7054_neg","1,2,3-Benzenetricarboxylic acid","C9 H6 O6",210.01662,5.284,209.00934,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters",179790.7538,176965.3079,241976.3453,189047.6534,192403.6648,168819.429,225007.4436,177583.7215,178944.4563,17.5190323227288,17.5911909457565,-0.0721586230277182,0.682822306040079,0.917451327061358,"stable",0.552434729158472
"LPS 14:0","Com_7064_neg","LPS 14:0","C20 H40 N O9 P",469.24411,8.612,468.23684,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",2692802.175,2345076.529,1612871.173,3787848.396,3818241.847,2848582.504,182844.2083,3434377.053,1525847.561,20.8153814656438,21.0476933893698,-0.232311923725987,0.761600189601339,0.925352554982091,"stable",0.227068732077214
"LPE O-22:2","Com_7067_neg","LPE O-22:2","C27 H54 N O6 P",519.36867,11.461,518.3614,"No results","Full match","No results",NA,NA,NA,NA,97661.23377,91045.1415200001,64415.96674,109110.3536,108583.4425,100403.3658,3763645.22,137722.9863,46191.40751,17.414961188454,16.3416411690387,1.07332001941534,0.297600202800588,0.828882472644309,"stable",0.774082950260477
"trans-Petroselinic Acid","Com_7073_neg","trans-Petroselinic Acid","C18 H34 O2",328.2611,9.119,327.25382,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",1948577.64,1488182.351,1822003.481,1563647.641,1181801.517,1483609.381,2633749.061,2080856.797,1314570.7,20.6488855376951,20.7320680513557,-0.0831825136606383,0.706202363930609,0.919965516860771,"stable",0.30972954560335
"5-Dehydroquinic acid","Com_7122_neg","5-Dehydroquinic acid","C7 H10 O6",190.04789,4.979,189.04057,"No results","Full match","No results","Organic acids and derivatives","Hydroxy acids and derivatives","Alpha hydroxy acids and derivatives","Alpha hydroxy acids and derivatives",1895395.261,1962984.454,1413845.811,2117622.702,2155778.485,2037998.672,2501707.126,2049369.076,1763548.622,20.997298853138,20.7299593282065,0.267339524931486,0.207693950633906,0.771718861322745,"stable",1.57925071188247
"LPC 20:1","Com_7124_neg","LPC 20:1","C28 H56 N O7 P",595.38539,10.508,594.37811,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",582674.9927,781864.107300001,1188246.817,1215088.911,522663.0114,501812.7751,2156477.827,1406411.15,1421336.121,20.0079317391984,19.6364311099177,0.371500629280661,0.446870130865112,0.879132932645836,"stable",0.666176983261502
"Prostaglandin G2","Com_7190_neg","Prostaglandin G2","C20 H32 O6",368.21987,6.546,349.20199,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1671757.771,393204.624,585846.6263,351422.9236,521014.899500001,473267.681,555623.1975,582972.7522,850775.0668,19.0335575376566,19.4726728827202,-0.439115345063616,0.558268969176624,0.900860069266613,"stable",0.877908030024779
"Pantetheine","Com_7305_neg","Pantetheine","C11 H22 N2 O4 S",278.13026,5.224,277.12266,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Beta amino acids and derivatives",863001.7859,541319.495500001,297395.908,354661.7212,585257.9937,665056.157499999,344957.6893,1008742.159,322812.8183,18.9297397027312,18.9823833708068,-0.0526436680755573,0.924829005201336,0.93770683430551,"stable",0.108460146467036
"Ribulose-5-phosphate","Com_7306_neg","Ribulose-5-phosphate","C5 H11 O8 P",230.01916,1.195,211.00121,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",2538252.247,2839986.785,1445242.377,3767227.36,4975455.865,4665257.829,2249563.759,3151448.982,3009949.535,21.7425166526262,21.0585789453894,0.683937707236769,0.133239851789681,0.684413115960198,"stable",1.67019815347846
"Docosapentaenoic acid","Com_7336_neg","Docosapentaenoic acid","C22 H34 O2",330.25589,10.191,329.24861,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",876832.949899999,707751.772399999,2145410.478,961494.220500001,317167.0885,676377.9494,760238.827500001,1399499.202,1368837.021,19.6423939969294,20.0692162304283,-0.426822233498896,0.509463700747789,0.892384785884065,"stable",0.724384854378276
"Taurocholic acid","Com_7417_neg","Taurocholic acid","C26 H45 N O7 S",515.29214,6.807,514.28487,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives",2793305.232,3655979.75,1968277.154,2069406.745,1801648.263,1805330.534,1453057.641,1640939.272,994040.992000001,20.5975333447474,21.3746234661419,-0.777090121394522,0.0702673345351382,0.549086450530861,"stable",1.93883713879822
"cis-2-Decenoic acid","Com_7439_neg","cis-2-Decenoic acid","C10 H18 O2",170.13081,5.95,169.12353,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",4617221.493,4248011.32100001,2565502.662,3895500.284,3386013.762,2741770.358,4993692.122,3423131.711,1870084.26,21.6274070947949,21.8159199276879,-0.188512832892922,0.596154763544694,0.906571806228622,"stable",0.555182632690461
"LPS 18:2","Com_7496_neg","LPS 18:2","C24 H44 N O9 P",521.27396,9.267,520.26669,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",3018622.056,2669397.561,3759975.035,4600770.20599999,2582982.196,3448700.41,1170616.026,6047793.597,3796764.734,21.6158041275596,21.5719443712717,0.0438597562878833,0.90823317297961,0.936640692191384,"stable",0.0884187745358917
"19(R)-Hydroxy prostaglandin F2α","Com_7505_neg","19(R)-Hydroxy prostaglandin F2α","C20 H34 O6",352.2251,6.342,351.21782,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1297397.478,2796514.238,5484261.76399999,1403605.933,2790282.861,3750568.642,790935.5544,3132417.062,14761101.7,21.443117825853,21.3697511185653,0.0733667072876543,0.933338487026931,0.938239700474094,"stable",0.0786481351778136
"Deoxyribose 5-Phosphate","Com_7507_neg","Deoxyribose 5-Phosphate","C5 H11 O7 P",214.02432,1.375,213.01705,"No results","No results","Full match",NA,NA,NA,NA,10158088.41,11209578.83,6040787.899,8388601.666,10581526.73,8168722.249,4551179.11,7619184.148,4613281.534,22.7355163844461,23.0735532130959,-0.338036828649862,0.3773767391771,0.859991668803066,"stable",0.921797264467869
"DY131","Com_7521_neg","DY131","C18 H21 N3 O2",311.16369,8.087,310.15642,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acids and derivatives",833741.7108,689417.3803,96504524.3099999,2128680.514,1903141.293,735375.5707,918301.5552,1579102.128,160916468.9,21.5051032053945,21.8627841252654,-0.357680919870901,0.89958104666608,0.936070263413346,"stable",0.156771132037683
"CerP 15:0;2O/2:0","Com_7522_neg","CerP 15:0;2O/2:0","C17 H36 N O6 P",381.22781,8.164,380.22054,"No results","Full match","No results",NA,NA,NA,NA,2056974.568,2198060.266,1930698.591,3326914.148,3275468.598,2645784.369,1418978.859,2651208.441,907765.3004,21.0351478835321,20.9735278547234,0.0616200288086937,0.851306195378875,0.932689031688554,"stable",0.137360369694566
"6α-Prostaglandin I1","Com_7629_neg","6α-Prostaglandin I1","C20 H34 O5",336.23036,7.33,335.22308,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",6304361.741,3547654.325,3016481.862,2868095.111,2301310.408,3186084.213,3146526.183,3313589.932,1614289.321,21.3427997444878,21.9569294591542,-0.614129714666355,0.185783322925715,0.751486829611218,"stable",1.57290019195052
"Boc-beta-cyano-L-alanine","Com_7657_neg","Boc-beta-cyano-L-alanine","C9 H14 N2 O4",214.0954,5.208,213.08812,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",881102.087200001,1058434.954,719971.5347,1376331.012,1206479.132,1048814.936,1337674.739,1129901.889,2339395.436,20.3686437687996,19.7400103939348,0.628633374864819,0.0359122687238379,0.456758506014075,"up",1.77215495370669
"(±)9-HpODE","Com_7661_neg","(±)9-HpODE","C18 H32 O4",312.23019,8.328,311.22291,"Full match","No results","Full match",NA,NA,NA,NA,3339749.953,2992795.697,1210543.288,2691694.723,4772264.03200001,3762390.997,5076645.34900001,2685653.899,345701.3547,21.2368328164118,21.1305314222321,0.106301394179663,0.891495506514839,0.935527826165077,"stable",0.117316757750492
"Soyasaponin I","Com_7743_neg","Soyasaponin I","C48 H78 O18",942.52101,7.241,941.51373,"Full match","No results","No results","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene saponins",127353.9259,119633.169,1923548.071,108641.4968,123290.7955,120415.8868,129181.1413,112653.1339,63262.68537,16.7047030949671,18.2340267589594,-1.52932366399231,0.366397259013069,0.856398650613485,"stable",1.45179363509022
"4-Amino-5-imidazolecarboxamide","Com_7770_neg","4-Amino-5-imidazolecarboxamide","C4 H6 N4 O",126.0542,5.2,107.03637,"No results","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Aminoimidazoles",2352174.145,2179812.224,1244794.725,2274415.826,1982039.871,2502868.929,2786508.877,2617174.259,1078597.654,21.010183620233,20.82293743231,0.187246187922938,0.625378982118918,0.910547198981344,"stable",0.520912709787499
"LPE 20:2","Com_7881_neg","LPE 20:2","C25 H48 N O7 P",505.31661,9.937,504.30965,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",547874.3376,799437.276000001,1205831.986,1888551.123,782722.326799999,997603.437799999,2413541.329,1633331.495,1689376.107,20.4808769678195,19.6245694319144,0.856307535905092,0.100274004663951,0.627527280155117,"stable",1.62752811812559
"LPC 18:2","Com_7927_neg","LPC 18:2","C26 H50 N O7 P",565.33831,9.208,564.33103,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",1280664.795,2172796.969,1757645.422,4019217.086,2559340.034,3228940.971,1437710.208,4445364.791,2523422.823,21.4424359177746,20.6949320160663,0.747503901708274,0.0612472506862919,0.51726519182514,"stable",1.59761342426801
"FAHFA 18:0/3:0","Com_7933_neg","FAHFA 18:0/3:0","C21 H40 O4",356.29286,11.312,355.28558,"No results","Full match","Full match",NA,NA,NA,NA,82391.7577299999,79124.6792800001,744439.9869,77311.23922,92665.6662700001,84586.2748499999,108924.6114,83728.8511499999,1238797.137,17.0721983274778,17.3692828505937,-0.297084523115885,0.824579487539301,0.930658596316337,"stable",0.256327654446703
