"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"LPE O-22:2","Com_7067_neg","LPE O-22:2","C27 H54 N O6 P",519.36867,11.461,518.3614,"No results","Full match","No results",NA,NA,NA,NA,3107259.934,2687027.192,1966328.803,1496781.783,1444484.645,2411904.313,20.725765717892,21.2772880490051,-0.551522331113063,0.324377380219767,0.37434908089445,"stable",1.10809740071276
"trans-Petroselinic Acid","Com_7073_neg","trans-Petroselinic Acid","C18 H34 O2",328.2611,9.119,327.25382,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",1478640.132,1654961.844,2179915.582,1698986.042,1585662.078,1454917.885,20.5884675960088,20.7366823019696,-0.148214705960786,0.585861552445765,0.472946896783079,"stable",0.636882043094223
"5-Dehydroquinic acid","Com_7122_neg","5-Dehydroquinic acid","C7 H10 O6",190.04789,4.979,189.04057,"No results","Full match","No results","Organic acids and derivatives","Hydroxy acids and derivatives","Alpha hydroxy acids and derivatives","Alpha hydroxy acids and derivatives",1516125.091,1611350.156,1777044.474,1846789.489,2050241.84,2225170.503,20.9564783720852,20.6376147737729,0.31886359831233,0.00330197434526522,0.157213232652218,"up",1.39699564883228
"LPC 20:1","Com_7124_neg","LPC 20:1","C28 H56 N O7 P",595.38539,10.508,594.37811,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",3991429.426,3616532.517,2224041.772,1509098.981,2152365.811,4137224.164,21.1809931888082,21.5998007395902,-0.418807550782041,0.602570878373965,0.479961638640905,"stable",0.642047356716009
"Prostaglandin G2","Com_7190_neg","Prostaglandin G2","C20 H32 O6",368.21987,6.546,349.20199,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1275093.905,947518.1335,980522.5239,618305.333,2412667.774,923407.360200001,20.0855884894073,20.0130524474587,0.0725360419486485,0.926427482518731,0.586601591923565,"stable",0.10049897022489
"Pantetheine","Com_7305_neg","Pantetheine","C11 H22 N2 O4 S",278.13026,5.224,277.12266,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Beta amino acids and derivatives",293603.3151,747127.394900001,408931.8733,336489.2744,328194.8697,1666635.748,19.1176338516804,18.7720014861051,0.345632365575344,0.746021925760218,0.53328900592374,"stable",0.323567987075167
"Ribulose-5-phosphate","Com_7306_neg","Ribulose-5-phosphate","C5 H11 O8 P",230.01916,1.195,211.00121,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",2541791.458,2276627.437,2874285.442,2606231.052,2787417.234,4013699.214,21.5535107237746,21.2835509787952,0.269959744979385,0.17167078213759,0.31497102941728,"stable",0.878571534240323
"Docosapentaenoic acid","Com_7336_neg","Docosapentaenoic acid","C22 H34 O2",330.25589,10.191,329.24861,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",1101405.851,958650.332200001,681033.343299999,203617.1485,472829.3196,665717.280100001,18.6103365359125,19.772975272669,-1.16263873675651,0.237351933381116,0.346445231400797,"stable",1.20846530504518
"Taurocholic acid","Com_7417_neg","Taurocholic acid","C26 H45 N O7 S",515.29214,6.807,514.28487,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives",3995872.936,3978463.087,4091391.362,4126944.106,2385377.414,3377497.194,21.6166505750912,21.9393397246966,-0.322689149605409,0.292077529947881,0.364271364160319,"stable",0.949981374567268
"cis-2-Decenoic acid","Com_7439_neg","cis-2-Decenoic acid","C10 H18 O2",170.13081,5.95,169.12353,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",3894684.058,3067353.295,2002155.282,3662630.523,4204387.305,2812552.488,21.7437871588433,21.4582534074542,0.285533751389089,0.266985708372047,0.356788297814682,"stable",0.662311048606992
"LPS 18:2","Com_7496_neg","LPS 18:2","C24 H44 N O9 P",521.27396,9.267,520.26669,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",1487273.053,1465555.497,981706.910799999,804360.348800001,337121.6504,225286.2801,18.5872640423413,20.2973957084351,-1.71013166609382,0.0533575158931218,0.252434073895617,"stable",1.37726504918413
"19(R)-Hydroxy prostaglandin F2α","Com_7505_neg","19(R)-Hydroxy prostaglandin F2α","C20 H34 O6",352.2251,6.342,351.21782,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",3031968.683,6827892.93099999,4400686.141,877422.797999999,2533179.645,168687.4493,19.4598079135135,22.1013764924146,-2.64156857890115,0.125710804187961,0.288127603439312,"stable",1.23553716425165
"Deoxyribose 5-Phosphate","Com_7507_neg","Deoxyribose 5-Phosphate","C5 H11 O7 P",214.02432,1.375,213.01705,"No results","No results","Full match",NA,NA,NA,NA,4510299.13,5025053.785,4398074.555,945297.7372,4115478.997,4059970.211,21.2586919703995,22.1446466416814,-0.885954671281969,0.325676710550312,0.374983500784265,"stable",0.88214794796693
"DY131","Com_7521_neg","DY131","C18 H21 N3 O2",311.16369,8.087,310.15642,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acids and derivatives",1101804.769,15052383.7,1022832.097,886347.5801,1005848.654,1239709.192,19.97968838507,21.2930212416659,-1.31333285659595,0.420579973613572,0.417073701982993,"stable",0.756510106418477
"CerP 15:0;2O/2:0","Com_7522_neg","CerP 15:0;2O/2:0","C17 H36 N O6 P",381.22781,8.164,380.22054,"No results","Full match","No results",NA,NA,NA,NA,1880690.663,2047341.384,1789773.141,1820208.733,1056405.691,2442844.881,20.6755119481227,20.8598322329976,-0.184320284874932,0.697641883564981,0.516569982943814,"stable",0.413232605341133
"6α-Prostaglandin I1","Com_7629_neg","6α-Prostaglandin I1","C20 H34 O5",336.23036,7.33,335.22308,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",3055929.938,3501369.805,3075446.407,2808209.285,3589997.592,3293836.892,21.6160360527582,21.6116774848594,0.00435856789888334,0.9531551301648,0.593481347702882,"stable",0.0296815087234395
"Boc-beta-cyano-L-alanine","Com_7657_neg","Boc-beta-cyano-L-alanine","C9 H14 N2 O4",214.0954,5.208,213.08812,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",590412.749500001,390443.1717,415538.2959,1842867.693,1080775.681,911197.818200001,20.2181871736186,18.8035797741381,1.41460739948056,0.0109890761695832,0.187968956245833,"up",1.48184941657122
"(±)9-HpODE","Com_7661_neg","(±)9-HpODE","C18 H32 O4",312.23019,8.328,311.22291,"Full match","No results","Full match",NA,NA,NA,NA,3975361.606,3372390.309,3754716.016,3199554.794,3747578.363,4321222.586,21.8299916910509,21.8160890393895,0.0139026516613612,0.940240035706615,0.590185796392948,"stable",0.0805020613023814
"Soyasaponin I","Com_7743_neg","Soyasaponin I","C48 H78 O18",942.52101,7.241,941.51373,"Full match","No results","No results","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene saponins",166272.4738,159448.2737,158931.7654,131563.345,140920.3511,140927.1528,17.0715028660744,17.3013222518979,-0.229819385823493,0.051027432018961,0.250724542050935,"stable",1.57210319714279
"4-Amino-5-imidazolecarboxamide","Com_7770_neg","4-Amino-5-imidazolecarboxamide","C4 H6 N4 O",126.0542,5.2,107.03637,"No results","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Aminoimidazoles",1698872.22,1521109.487,2250869.69,2869543.347,1547513.713,2267254.968,21.0421419034383,20.7782965298345,0.263845373603786,0.396089176218998,0.407272260790616,"stable",0.651492641145888
"LPE 20:2","Com_7881_neg","LPE 20:2","C25 H48 N O7 P",505.31661,9.937,504.30965,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",1772823.674,1087505.476,853801.1914,827370.859499999,1088164.392,1549808.309,20.0917660226618,20.1712498354852,-0.0794838128234368,0.901376501055645,0.579938599352687,"stable",0.16181619770392
"LPC 18:2","Com_7927_neg","LPC 18:2","C26 H50 N O7 P",565.33831,9.208,564.33103,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",1896758.037,1544101.399,1151906.275,605574.4987,1531674.404,2776288.593,20.3864497526165,20.516344063577,-0.129894310960442,0.891804460231395,0.577335588327963,"stable",0.159670806663516
"FAHFA 18:0/3:0","Com_7933_neg","FAHFA 18:0/3:0","C21 H40 O4",356.29286,11.312,355.28558,"No results","Full match","Full match",NA,NA,NA,NA,122215.469,129285.9345,114255.5768,92038.0973400001,103391.6304,102837.8605,16.5992384642019,16.8937260788058,-0.29448761460381,0.0599733305049361,0.256661721400688,"stable",1.47929404072347
"Dihydroxyacetone phosphate","Com_7935_neg","Dihydroxyacetone phosphate","C3 H7 O6 P",123.99249,1.414,122.98524,"No results","Invalid mass","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",26083835.62,30793066.26,27815319.53,28838031.77,24914936.76,24680694.11,24.6362855252941,24.7473770790594,-0.111091553765288,0.493141197992482,0.442410634246078,"stable",0.802058502543539
"Lysope 16:0","Com_7943_neg","Lysope 16:0","C21 H44 N O7 P",453.28574,8.463,452.27847,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-(1Z-alkenyl)-glycero-3-phosphoethanolamines",1221048.527,1027077.522,746797.682400001,617173.603099999,722586.6726,1319135.259,19.6764296742994,19.9000535594731,-0.223623885173659,0.719007401501006,0.524098801729649,"stable",0.454228170562
"trans-10-Heptadecenoic acid","Com_7944_neg","trans-10-Heptadecenoic acid","C17 H32 O2",314.24567,7.877,313.23844,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",3132662.524,3151357.765,3221089.725,2627280.818,3033532.881,3073030.884,21.4696457783112,21.5952058214206,-0.125560043109424,0.189821962429221,0.325179331239941,"stable",1.07888064828276
"o-Cresol","Com_7947_neg","o-Cresol","C7 H8 O",108.05759,5.229,107.05031,"No results","No results","Full match","Benzenoids","Phenols","Cresols","Ortho cresols",1551291.898,1469329.663,1758022.286,1865272.402,1446829.789,1948705.178,20.7298343634874,20.5990957874955,0.130738575991874,0.258561540173333,0.354030110075086,"stable",0.647867263785914
"Dl-3-Hydroxy-kynurenine","Com_7967_neg","Dl-3-Hydroxy-kynurenine","C10 H12 N2 O4",224.0797,5.152,223.07239,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Alkyl-phenylketones",204958.4764,187179.3697,251117.3199,615934.2445,353370.7156,3233146.276,19.7625823752269,17.6990120169267,2.06357035830017,0.131868710114208,0.291415697577056,"stable",1.21155325885794
"LPA 12:0","Com_7983_neg","LPA 12:0","C15 H31 O7 P",354.17969,7.918,353.17242,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",180288.275,170365.5063,163841.1299,147484.5595,147253.1837,167851.2095,17.231655701912,17.3867192773336,-0.155063575421558,0.25339617144128,0.352270760726335,"stable",1.19902183484146
"N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide","Com_8064_neg","N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide","C16 H16 N2 O3",284.11762,7.15,283.11035,"Invalid mass","No results","No results",NA,NA,NA,NA,2479600.984,5137794.28,3861885.543,3598745.307,3781004.523,2404964.349,21.6089949310969,21.8050894072062,-0.19609447610922,0.651781687769727,0.499576993290614,"stable",0.426398464700126
"4-(beta-D-Glucopyranosyloxy)-2-methylenebutanoic acid","Com_8212_neg","4-(beta-D-Glucopyranosyloxy)-2-methylenebutanoic acid","C11 H18 O8",278.09791,6.701,277.09064,"Invalid mass","No results","No results",NA,NA,NA,NA,5732575.47,3620178.77,3749306.015,2344654.95,2901297.059,3357756.451,21.4360923139274,22.0255245582081,-0.589432244280765,0.237119225067491,0.34635645282733,"stable",1.24364532031997
"Gamma-Glu-Leu","Com_8356_neg","Gamma-Glu-Leu","C11 H20 N2 O5",260.13713,4.126,259.12985,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",1307353.862,1303869.612,2080346.426,2219691.721,2251921.391,1478321.834,20.8933939602212,20.5403262645162,0.353067695704908,0.491743045083661,0.441968155276973,"stable",0.842986819139187
"LPG 20:3","Com_8389_neg","LPG 20:3","C26 H47 O9 P",534.29616,9.24,533.28888,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",251783.4656,270283.199,225951.4692,203171.28,336861.4626,302908.2636,18.0675514102812,17.9238632474975,0.143688162783697,0.593871303065425,0.476332933311255,"stable",0.486640295502617
"LNAPE 16:1/N-17:0","Com_8399_neg","LNAPE 16:1/N-17:0","C38 H74 N O8 P",703.51606,10.331,702.50878,"No results","Full match","No results",NA,NA,NA,NA,6922276.539,6616782.564,4414241.84,76958.8669700001,4240955.945,3228019.63,19.9566586418317,22.4847492760946,-2.52809063426283,0.33028441066108,0.377209937009444,"stable",0.927619330706554
"D-Fructose 6-phosphate","Com_8408_neg","D-Fructose 6-phosphate","C6 H13 O9 P",260.02989,2.153,259.02262,"No results","No results","Full match",NA,NA,NA,NA,2655649.104,2326967.146,2358011.644,3818526.098,2479275.095,5278299.00299999,21.8125710095856,21.2199306417983,0.592640367787272,0.197055368432436,0.328879881319039,"stable",1.1255182202893
"4-tert-butylphenol","Com_8460_neg","4-tert-butylphenol","C10 H14 O",150.10443,6.884,149.09716,"Full match","No results","No results","Benzenoids","Benzene and substituted derivatives","Phenylpropanes","Phenylpropanes",2176918.21,2277542.286,2033783.087,1829268.934,2467948.297,1925382.022,20.9714765982757,21.0428788564307,-0.0714022581549791,0.569878849052208,0.467407663309653,"stable",0.406010231891917
"12-Epileukotriene B4","Com_8479_neg","12-Epileukotriene B4","C20 H32 O4",372.20097,4.665,371.1937,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Leukotrienes",2458426.262,2891841.912,2979900.779,5210810.05600001,3719223.984,4429620.215,22.0727993400081,21.3998979242796,0.672901415728486,0.0880700432160681,0.268219676538791,"stable",1.49148674988192
"3-amino-1H-pyrazolo[4,3-c]pyridine-4,6-diol","Com_8487_neg","3-amino-1H-pyrazolo[4,3-c]pyridine-4,6-diol","C6 H6 N4 O2",166.04771,1.715,165.04044,"Invalid mass","No results","No match",NA,NA,NA,NA,968936.0101,930712.966,895442.806600001,889051.1003,1108080.516,974372.627499999,19.9118840606907,19.8287534694264,0.0831305912643288,0.529346497523225,0.454204619682401,"stable",0.649453532233072
"Glycolithocholic acid","Com_8578_neg","Glycolithocholic acid","C26 H43 N O4",433.31928,8.157,432.312,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Glycinated bile acids and derivatives",1432951.005,1522825.781,1296898.3,873542.156699999,572841.4167,1311413.774,19.7289952011884,20.4318370802786,-0.702841879090172,0.230035739799971,0.343591115894128,"stable",1.17423339386112
"Isovaleric acid","Com_8661_neg","Isovaleric acid","C5 H10 O2",102.06815,5.509,101.06087,"No results","Full match","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",2602187.118,2174088.985,2608552.698,2669952.07,2723416.222,2618946.018,21.3486411206422,21.2260303282681,0.122610792374136,0.350886163404029,0.387144431012719,"stable",0.945428600154962
"PC 16:1_20:5","Com_8689_neg","PC 16:1_20:5","C44 H76 N O8 P",823.53757,11.344,822.53029,"No results","Invalid mass","No results",NA,NA,NA,NA,3452514.742,2044068.645,1781049.731,765816.7996,1797211.51,1608052.424,20.3136171896065,21.1488415764934,-0.835224386886882,0.338060758691127,0.380886799998239,"stable",1.08553863551788
"LPG 18:0","Com_8747_neg","LPG 18:0","C24 H49 O9 P",512.31156,11.746,511.30428,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","Phosphatidylglycerols",2006101.375,1898676.785,979898.805299999,652584.214599999,855129.7171,2576797.093,20.1062452766859,20.5649330760031,-0.458687799317225,0.672779643096693,0.507503474846952,"stable",0.523139438988499
"LNAPE 16:1/N-22:4","Com_8802_neg","LNAPE 16:1/N-22:4","C43 H76 N O8 P",765.54607,10.487,764.5388,"No results","Invalid mass","No results",NA,NA,NA,NA,2070817.389,796826.4483,238860.6791,204186.5855,653943.3545,235672.5731,18.2682530186679,19.4838282564262,-1.21557523775826,0.372341802414728,0.397052413015281,"stable",0.834956443927679
"PE 16:0_20:3","Com_8870_neg","PE 16:0_20:3","C41 H76 N O8 P",741.53799,11.051,740.53072,"No results","Invalid mass","No results",NA,NA,NA,NA,2456169.545,2253315.511,860173.370000001,709322.0863,618397.1847,802505.2074,19.4294689327302,20.6819548555526,-1.25248592282234,0.161949550701577,0.309014683233724,"stable",1.30075009590145
"L-Saccharopine","Com_8887_neg","L-Saccharopine","C11 H20 N2 O6",276.13224,4.989,275.12496,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Glutamic acid and derivatives",1275560.952,1343367.139,1594728.912,2259929.055,2036631.531,2239416.148,21.053430276388,20.4150007972588,0.638429479129194,0.0230580241653953,0.211688486306292,"up",1.57241281749734
"nor-6β-Oxycodol","Com_8897_neg","nor-6β-Oxycodol","C17 H21 N O4",303.14321,4.806,302.13593,"Invalid mass","No results","No results","Benzenoids","Phenanthrenes and derivatives","Not available","Phenanthrenes and derivatives",2559219.629,2708678.764,2764439.519,5219832.402,2179950.422,3237907.78,21.6660221381491,21.3516619955042,0.314360142644929,0.504513604819072,0.445950208991595,"stable",0.655826966464691
"PE O-16:0_20:5","Com_9060_neg","PE O-16:0_20:5","C41 H74 N O7 P",723.52125,11.353,722.51313,"No results","Full match","No results",NA,NA,NA,NA,75138.2633999999,234464.8213,1562601.409,843787.513399999,103219.4472,721731.229100001,18.600992550674,18.2039301652306,0.397062385443473,0.821340543119661,0.557133400783567,"stable",0.203676802509551
"PE 16:0_22:5","Com_9087_neg","PE 16:0_22:5","C43 H76 N O8 P",765.52636,11.804,764.51892,"No results","Invalid mass","No results",NA,NA,NA,NA,16064646.06,15296969.65,11437115.32,4107719.352,5578663.541,6453573.725,22.3343537182893,23.7504494298392,-1.4160957115499,0.050311415382921,0.250172402009972,"stable",1.5691555404831
"LPE 16:2","Com_9140_neg","LPE 16:2","C21 H40 N O7 P",449.25436,8.404,448.24708,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",452630.2166,398221.7156,393348.3825,356928.6888,177094.1505,686547.7833,18.4228113277264,18.6588779562598,-0.236066628533397,0.719829157841334,0.524383693304173,"stable",0.337836889453462
"Nervonic acid","Com_9157_neg","Nervonic acid","C24 H46 O2",366.34957,11.466,365.34229,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",2395579.481,3436618.14,3026310.188,3772381.236,2034631.917,1201865.179,21.0000746934033,21.4778766036392,-0.477801910235929,0.503295716158546,0.445576140860845,"stable",0.715255894740699
"XMP","Com_9189_neg","XMP","C10 H13 N4 O9 P",364.04191,1.822,363.03463,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleotides","Purine ribonucleotides","Purine ribonucleoside monophosphates",584416.476600001,637274.7203,314681.082,572180.7273,771988.3944,643176.9642,19.3263957410336,18.9005747193293,0.425821021704255,0.309562079910731,0.368921498333877,"stable",0.873450318968231
"11(E)-Eicosenoic Acid","Com_9244_neg","11(E)-Eicosenoic Acid","C20 H38 O2",310.28711,11.414,309.27984,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",2215310.732,1691745.158,1126013.99,629556.669800001,1004247.065,1829777.576,20.0016321315892,20.6239839309867,-0.622351799397457,0.483243079364427,0.43924269554079,"stable",0.843030895092679
"5-(tert-butyl)-2-methyl-N-(5-methyl-3-isoxazolyl)-3-furamide","Com_9251_neg","5-(tert-butyl)-2-methyl-N-(5-methyl-3-isoxazolyl)-3-furamide","C14 H18 N2 O3",262.13182,5.314,261.12466,"Full match","No results","Full match",NA,NA,NA,NA,643137.600000001,748240.4976,786203.233499999,926238.202099999,1065536.577,1424582.758,20.0954268088262,19.4641510698285,0.631275738997754,0.0307048986018388,0.227385344701647,"up",1.39766763863121
"D-Glucarate","Com_9284_neg","D-Glucarate","C6 H10 O8",210.03748,1.583,209.0302,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Glucuronic acid derivatives",519457.1104,496330.3042,574569.9374,520930.982399999,595978.609299999,566109.0243,19.0954513799524,19.013236371015,0.0822150089374283,0.462350885009962,0.432274160567077,"stable",0.728485985700668
"Pyrithioxin","Com_9383_neg","Pyrithioxin","C16 H20 N2 O4 S2",368.08467,4.999,367.07739,"No results","No results","Full match","Organoheterocyclic compounds","Pyridines and derivatives","Methylpyridines","Methylpyridines",132351.0455,157285.6135,129986.6037,98553.5585300001,114104.9184,112810.2079,16.7240532971182,17.0883468933499,-0.364293596231775,0.0456794402978891,0.246253531580023,"down",1.41867591981123
"LPE 22:4","Com_9389_neg","LPE 22:4","C27 H48 N O7 P",529.31671,9.556,528.30943,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",7237478.16000001,6007370.40399999,4091211.186,3394351.642,2486341.217,668939.568699999,20.7639379430621,22.4231514761621,-1.65921353309993,0.0743303242511798,0.263537192607943,"stable",1.22626206322459
"PC 15:0_16:1","Com_9401_neg","PC 15:0_16:1","C39 H76 N O8 P",763.53716,10.164,762.52988,"No results","Invalid mass","No results",NA,NA,NA,NA,3349662.628,3354761.352,1793658.339,765046.5604,709388.855299999,235331.3144,18.9419129822233,21.3759455846754,-2.43403260245206,0.010395218681233,0.187070901610495,"down",1.47661753682391
"LPS 20:4","Com_9421_neg","LPS 20:4","C26 H44 N O9 P",545.27308,9.778,544.26581,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",694027.5519,531334.177999999,380643.1972,315276.6825,213270.9229,949252.282199999,18.6083395811298,18.9873243906452,-0.378984809515437,0.699390650947618,0.517195156044725,"stable",0.43868317974383
"(±)13-HODE","Com_9424_neg","(±)13-HODE","C18 H32 O3",296.23495,9.189,295.22767,"Full match","No results","Full match",NA,NA,NA,NA,5081128.332,4077510.234,4730898.24,3452846.143,4163115.669,4234319.043,21.9074284590631,22.1365524124504,-0.229123953387369,0.31652661341218,0.370660669985225,"stable",1.08485075426403
"Deoxyinosine","Com_9435_neg","Deoxyinosine","C10 H12 N4 O4",252.08462,5.191,233.06689,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Purine nucleosides","Purine 2'-deoxyribonucleosides","Purine 2'-deoxyribonucleosides",907846.657900001,937523.0687,1197493.246,723965.7618,1145489.289,1125464.376,19.8983944814047,19.9407232877367,-0.0423288063319234,0.835307119541937,0.561289670821554,"stable",0.13976540895643
"LPI 22:5","Com_9488_neg","LPI 22:5","C31 H51 O12 P",646.31236,9.639,645.30508,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoinositols","Phosphatidylinositols",373522.651,303670.058,198661.6956,408864.1002,175353.8024,1957195.748,18.9871758935971,18.1076451838716,0.879530709725451,0.551503092773941,0.461569249249935,"stable",0.639441737098987
"7-Ketolithocholic acid","Com_9543_neg","7-Ketolithocholic acid","C24 H38 O4",390.27731,7.864,389.27003,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Bile acids, alcohols and derivatives",3629596.588,3091283.434,2930593.021,2619125.024,3019305.397,2684529.611,21.4008922149125,21.6113044953348,-0.210412280422315,0.25412718049205,0.352523012128852,"stable",1.1356068276798
"3-Methoxytyramine","Com_9679_neg","3-Methoxytyramine","C9 H13 N O2",167.09494,6.329,166.08742,"No results","No results","Full match","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols",911424.749199999,736989.137799999,915520.384300001,800142.2353,746474.525000001,851966.9927,19.6066894891367,19.6977601114813,-0.0910706223446525,0.267776220275791,0.357040340567974,"stable",0.602255537419021
"LPS 19:1","Com_9680_neg","LPS 19:1","C25 H48 N O9 P",537.30684,9.597,536.29957,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",563752.011299999,542450.948899999,326759.6094,608559.5862,666348.709500001,1956355.084,19.8202312172888,18.8239014834266,0.996329733862215,0.336580276836746,0.380194448072452,"stable",1.0635251852018
"Prostaglandin A1 ethyl ester","Com_9686_neg","Prostaglandin A1 ethyl ester","C22 H36 O4",346.25074,8.435,345.24347,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1194976.434,1473126.004,1838841.575,1551894.545,2268611.57,1214915.588,20.630467308811,20.4964553006621,0.134012008148879,0.753644864536904,0.535818428352944,"stable",0.342758008980765
"PC 14:0_22:6","Com_9726_neg","PC 14:0_22:6","C44 H76 N O8 P",823.53746,11.674,822.53018,"No results","Invalid mass","No results",NA,NA,NA,NA,2275993.633,1058089.107,1244403.805,766499.1497,1104533.873,198307.7144,19.0734373912222,20.4593726900709,-1.38593529884869,0.220752529075429,0.33977233206498,"stable",1.06809163360722
"Feruloyl Putrescine","Com_9798_neg","Feruloyl Putrescine","C14 H20 N2 O3",264.14754,5.398,263.14032,"No results","No results","Full match","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives","Coumaric acids and derivatives",1086061.406,1170481.831,1387568.351,1601344.228,1399455.671,1606688.934,20.5476485343377,20.2044909211312,0.343157613206543,0.0882693183977468,0.268277893681533,"stable",1.34811456176396
"LNAPE 16:0/N-24:4","Com_9877_neg","LNAPE 16:0/N-24:4","C45 H82 N O8 P",795.56492,10.821,794.55755,"No results","Invalid mass","No results",NA,NA,NA,NA,1693460.756,1428969.889,1212372.192,1833795.577,1675578.861,3650407.169,21.094085170537,20.4491628152239,0.644922355313092,0.306543369714951,0.36814839677547,"stable",1.07279490057109
"Metanephrine","Com_9928_neg","Metanephrine","C10 H15 N O3",197.10516,5.772,196.09787,"No results","No results","Full match","Benzenoids","Phenols","Methoxyphenols","Methoxyphenols",2850881.333,2214161.949,2955558.318,2663629.363,3652838.044,3280894.219,21.5970686424569,21.3387683774907,0.258300264966184,0.398900656200512,0.408434016849146,"stable",0.94287922694976
