"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","OCI_M2_WT_1","OCI_M2_WT_2","OCI_M2_WT_3","OCI_M2_2w_1","OCI_M2_2w_2","OCI_M2_2w_3","OCI_M2_6w_1","OCI_M2_6w_2","OCI_M2_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"2-Hydroxy-2-methylbutanedioic acid","Com_4732_neg","2-Hydroxy-2-methylbutanedioic acid","C5 H8 O5",148.0371,5.261,147.02983,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Methyl-branched fatty acids",3090176.595,61487737.67,4462955.102,5471478.899,5215562.86,2865857.339,1793578.453,3857234.363,4601173.84,21.8225902706753,23.1742070362438,-1.35161676556853,0.425298824769285,0.428301866485942,"stable",1.01401162698497
"3-Methylhippuric acid","Com_4781_neg","3-Methylhippuric acid","C10 H11 N O3",193.07755,4.721,192.07027,"Invalid mass","No results","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","N-acyl-alpha amino acids",748809.097999999,1350206.525,1937900.128,4201175.086,6976220.933,1844459.082,3684340.506,6208962.65699999,14455755.23,22.2858630961043,20.2550166314915,2.03084646461281,0.0126508755752011,0.108038113433682,"up",1.64811278224466
"Lysope 14:0","Com_4854_neg","Lysope 14:0","C19 H40 N O7 P",425.25469,7.817,424.24742,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",1079656.217,1004454.276,918868.547600001,740392.885399999,886626.0575,678269.676799999,779792.023200001,995798.644000001,1344888.639,19.7474461497936,19.92987333175,-0.182427181956431,0.296109826084015,0.373247502202739,"stable",0.651364615747807
"12-Hydroxydodecanoic acid","Com_4882_neg","12-Hydroxydodecanoic acid","C12 H24 O3",216.1725,7.896,215.16522,"Full match","No results","No results","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",5268902.721,4858178.656,5408118.49399999,5420671.724,5124131.986,4944716.31599999,7277615.953,3770321.18,3354500.543,22.2025549619225,22.3025835195508,-0.100028557628256,0.576074234109261,0.481406878843215,"stable",0.33717785275877
"13,14-dihydro Prostaglandin F1α","Com_4928_neg","13,14-dihydro Prostaglandin F1α","C20 H38 O5",394.24859,10.496,393.24131,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1532058.03,1165569.533,1226666.673,3686936.547,3402740.299,2578339.248,2559737.739,4989758.793,2809851.957,21.6284055589784,20.3086516655488,1.31975389342964,0.0003190546065584,0.0174939850780267,"up",1.9543132569784
"Phe-Pro","Com_4936_neg","Phe-Pro","C14 H18 N2 O3",262.13184,5.501,261.12456,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Dipeptides",7244012.56899999,6850380.065,6361335.404,4837388.017,6011848.97699999,4497702.645,5486276.046,4677287.461,6253047.928,22.324449269861,22.6990028149786,-0.374553545117696,0.00642933036760592,0.0770196420080071,"down",1.62715159288739
"5-chloro-N-(4-morpholinophenyl)-1H-indole-2-carboxamide","Com_4954_neg","5-chloro-N-(4-morpholinophenyl)-1H-indole-2-carboxamide","C19 H18 Cl N3 O2",355.11481,5.437,354.10753,"Invalid mass","No results","No results",NA,NA,NA,NA,3247926.206,2569557.064,3468824.096,3952152.485,3318294.023,3026992.857,4059750.571,3609069.365,4240488.164,21.809604223759,21.5500636457492,0.259540578009755,0.174753968552861,0.301481744221076,"stable",1.23479142510109
"5-Phenylvaleric Acid","Com_5019_neg","5-Phenylvaleric Acid","C11 H14 O2",178.09942,6.413,177.09214,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",4153926.928,4873175.50100001,5220882.877,4004637.226,3626998.105,4113211.239,4515908.126,4490851.60199999,3326377.807,21.9276802254592,22.1727791734414,-0.245098947982147,0.108833941728729,0.248299885556431,"stable",1.3085503546663
"LPA 18:0","Com_5102_neg","LPA 18:0","C21 H43 O7 P",438.27468,10.475,437.26741,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",1874318.354,2688391.95,1622411.422,3365725.443,3786201.316,3277669.36,2836503.875,3802940.676,3353764.92,21.6917935328448,20.9419849758531,0.749808556991677,0.0638616306586583,0.2023256734314,"stable",1.85526548250124
"LPE 12:0","Com_5137_neg","LPE 12:0","C17 H36 N O7 P",397.22325,7.795,396.21597,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",318290.8746,327683.0337,304903.793,329666.971,420747.6904,361826.1062,328076.2776,375250.698,576997.760099999,18.5762593014123,18.2733074311357,0.302951870276569,0.0596661254187144,0.198593588131652,"stable",1.14390539606863
"13,14-Dihydro-15-keto Prostaglandin A2","Com_5193_neg","13,14-Dihydro-15-keto Prostaglandin A2","C20 H30 O4",334.21462,6.874,333.20734,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",4449449.318,5693760.48,489438.2391,6794284.57399999,4466589.747,5136328.128,9487112.314,3351528.799,5161448.98899999,22.3720347790319,21.1423043440797,1.22973043495218,0.388809641695773,0.413329531459954,"stable",1.08785733048862
"FAHFA 18:0/20:2","Com_5202_neg","FAHFA 18:0/20:2","C38 H70 O4",590.52542,11.246,589.51814,"No results","Full match","No results",NA,NA,NA,NA,1077690.868,2551554.555,875278.3157,1964355.544,1317186.486,1909066.939,1895193.564,2143265.673,1729005.043,20.7843154623049,20.3539464453541,0.430369016950756,0.460087439349678,0.441249426121509,"stable",0.928810683292804
"PG 18:1_22:6","Com_5263_neg","PG 18:1_22:6","C46 H77 O10 P",820.52679,9.791,819.51951,"No results","Full match","No results",NA,NA,NA,NA,16625493.71,19537026.38,13175255.04,18736015.87,11531500.25,16634395.42,29047832.41,11142049.83,41488957.08,24.1856194029337,23.9526429882618,0.232976414671931,0.523724942462823,0.461995835143081,"stable",0.406981376823101
"3-(3-Methoxyphenyl)propionic acid","Com_5297_neg","3-(3-Methoxyphenyl)propionic acid","C10 H12 O3",180.07866,5.879,179.07138,"No results","No results","Full match",NA,NA,NA,NA,4859879.89299999,5378690.913,8680302.53599999,6128643.75800001,6030790.75299999,6540067.25899999,7013507.61400001,4596397.991,4742862.401,22.4605049668915,22.5402089267431,-0.0797039598516776,0.794871171408373,0.561570113041349,"stable",0.286611693120164
"1-Pyrenol","Com_5300_neg","1-Pyrenol","C16 H10 O",218.07261,4.801,217.06534,"Full match","No results","No results","Benzenoids","Pyrenes","Not available","Pyrenes",2433898.537,1813153.218,1861587.229,1891298.321,2843408.971,1452772.175,1891047.667,4633854.81299999,5077668.473,21.3384638712893,20.9443362655994,0.394127605689867,0.27726366373573,0.363549324213871,"stable",0.675173979943675
"Taurolithocholic acid","Com_5318_neg","Taurolithocholic acid","C26 H45 N O5 S",483.30209,8.023,482.29481,"No results","No results","Full match",NA,NA,NA,NA,2436037.839,3519503.434,2082136.224,2809912.072,2800981.326,2259661.505,2796173.974,4109598.506,3786371.814,21.5308738516331,21.3175595348935,0.213314316739577,0.464769807808127,0.442898449602134,"stable",0.68499828611667
"MGDG O-13:1_20:4","Com_5351_neg","MGDG O-13:1_20:4","C42 H72 O9",766.53467,8.536,765.52739,"No results","Invalid mass","No results",NA,NA,NA,NA,30549607.32,38161677.36,39736419.36,30641997.96,40826525.7,50049953.84,70919941.94,69029322.36,40633179.97,25.5209041408789,25.0980767637147,0.422827377164214,0.104694229398759,0.243903833955455,"stable",1.03272348864814
"Prostaglandin H2","Com_5433_neg","Prostaglandin H2","C20 H32 O5",334.21422,7.404,333.20699,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",4261684.12,6440956.12000001,2104309.15,4811063.161,3592354.327,3704638.476,7202584.24,4213920.127,3871825.284,22.0777868370895,21.8822503017095,0.195536535379944,0.725085957421106,0.538833354834729,"stable",0.411182371503554
"8-iso-15-keto Prostaglandin F2α","Com_5459_neg","8-iso-15-keto Prostaglandin F2α","C20 H32 O5",352.22523,6.814,351.21791,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",2018882.963,1712655.807,612152.6136,2559446.319,1561473.515,1938594.28,4426803.27,1309449.493,1568451.227,20.9546214175262,20.2921538346906,0.662467582835639,0.349722971838333,0.397141524636437,"stable",0.936366158208348
"JWH 018 N-pentanoic acid metabolite","Com_5494_neg","JWH 018 N-pentanoic acid metabolite","C24 H21 N O3",407.1325,5.56,406.12522,"Invalid mass","No results","No results","Organoheterocyclic compounds","Indoles and derivatives","Naphthoylindoles","Naphthoylindoles",775447.773099999,274495.6004,633936.696400001,484190.9285,156754.4293,796287.850699999,308520.2079,621507.350099999,375614.3687,18.6242673075857,18.9683576168095,-0.344090309223834,0.576806665602138,0.481724099795752,"stable",0.473491916759047
"13,14-Dihydro-15-keto Prostaglandin E1","Com_5508_neg","13,14-Dihydro-15-keto Prostaglandin E1","C20 H34 O5",336.23072,6.624,335.22301,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1300792.762,1914510.127,1811147.531,1682736.74,1365531,1356517.675,2946345.816,1385396.972,1512489.936,20.642623759279,20.6559920677983,-0.0133683085192899,0.958794542678009,0.607074975538059,"stable",0.0387108016352869
"N-(4-chlorophenethyl)-N'-(4-chlorophenyl)urea","Com_5535_neg","N-(4-chlorophenethyl)-N'-(4-chlorophenyl)urea","C15 H14 Cl2 N2 O",354.05627,11.963,353.04899,"Invalid mass","No results","No results",NA,NA,NA,NA,4808700.975,8226895.44399999,5834489.018,5130199.368,7194242.735,4682329.176,6523385.609,5129807.724,8442303.152,22.5274429676503,22.5484357811383,-0.0209928134880002,0.940987540193388,0.6025943188598,"stable",0.0690705505936575
"N-Acetyl-L-histidine","Com_5592_neg","N-Acetyl-L-histidine","C8 H11 N3 O3",197.08019,1.465,196.07303,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",3144719.886,3462764.603,2370911.633,4253133.383,3451129.863,4022560.946,1863228.217,4144262.89,3020621.136,21.6694809529882,21.4950011444942,0.17447980849397,0.505270213701041,0.456330192193598,"stable",0.478269055443915
"2,3-dihydro-5-nitro-2-spiro(cyclohexyl)benzimidazole","Com_5594_neg","2,3-dihydro-5-nitro-2-spiro(cyclohexyl)benzimidazole","C12 H15 N3 O2",233.11633,6.529,232.10872,"Full match","No results","No results",NA,NA,NA,NA,2415789.822,2718792.724,1667534.721,1943535.882,1972693.503,2436538.515,2441546.518,2030464.104,1862185.31,21.0032827404726,21.082627873081,-0.0793451326083208,0.751076512260051,0.547571721623906,"stable",0.370206815350046
"UMP","Com_5596_neg","UMP","C9 H13 N2 O9 P",324.03613,6.565,323.02873,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",28820271.26,28914030.82,32157341.47,67519648.4499999,26223253.24,7838201.13699999,16491676.67,24776366.2,14980060.27,24.321579112579,24.8348305972961,-0.513251484717092,0.281331372109518,0.365708009087134,"stable",0.645045062151525
"6-Phosphogluconic acid","Com_5599_neg","6-Phosphogluconic acid","C6 H13 O10 P",276.02411,5.243,275.01683,"No results","No results","Full match",NA,NA,NA,NA,1368112.764,1507279.753,1748488.892,2902389.643,5075638.106,1604617.017,3273398.213,4016768.787,2964873.96,21.572877692192,20.5483162309753,1.02456146121668,0.0053353079325067,0.0716521357664944,"up",1.62246909742795
"PA 2:0_16:0","Com_5900_neg","PA 2:0_16:0","C21 H41 O8 P",452.25434,10.359,451.24706,"No results","Full match","No results",NA,NA,NA,NA,167887.1353,162270.5386,174367.4451,199774.9187,139779.261,171054.2378,177129.8655,332689.1119,139547.1359,17.4922595221888,17.3589816367148,0.133277885474008,0.516335836465599,0.459759297682035,"stable",0.385929503824693
"Cynaropicrin","Com_5918_neg","Cynaropicrin","C19 H22 O6",392.14769,5.697,391.14041,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Guaianolides and derivatives",171668.6973,168493.4813,177059.0435,174194.3756,154053.5214,186738.3465,5669021.759,136579.1825,154215.0474,18.1471166350861,17.3951572435285,0.751959391557598,0.421948510258589,0.42698619650541,"stable",0.476285105952717
"Carnosine","Com_6051_neg","Carnosine","C9 H14 N4 O3",226.10549,1.346,261.07451,"No results","No results","Full match","Organic acids and derivatives","Peptidomimetics","Hybrid peptides","Hybrid peptides",2100052.792,1304697.126,2019659.65,4340090.395,4178674.709,4335368.038,2839244.98,3138489.24,3158986.522,21.7835626357703,20.7543194775699,1.02924315820038,0.0236025585685532,0.140592955780193,"up",1.88382718892425
"11(Z)-Eicosenoic acid","Com_6068_neg","11(Z)-Eicosenoic acid","C20 H38 O2",356.29256,9.901,355.28529,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",339713.311,689330.832199999,589074.7663,483374.8893,193854.6086,565137.476,4219027.367,344246.9799,400141.0051,19.0945588812947,18.9789621572829,0.115596724011812,0.872714301856887,0.584424893697655,"stable",0.101199221449475
"Hexadecanedioic acid","Com_6071_neg","Hexadecanedioic acid","C16 H30 O4",286.21453,7.033,285.20726,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",9286973.32400001,9871319.865,10451272.37,9224079.019,7589583.715,9526623.66400001,10114723.42,7987912.32599999,8561558.98699999,23.0674798383319,23.2329212936544,-0.165441455322448,0.0820602144955542,0.220555864761793,"stable",1.14887548804367
"3,14-dihydro-15-keto-tetranor Prostaglandin E2","Com_6114_neg","3,14-dihydro-15-keto-tetranor Prostaglandin E2","C16 H26 O5",280.16513,7.252,279.15786,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclopentanols",2511145.856,2545867.309,5103705.80100001,2636560.498,2355328.651,4745493.084,3036948.235,2821354.704,2485842.043,21.4805499826304,21.6075846439767,-0.127034661346354,0.754946817683337,0.5488447207718,"stable",0.330117052692562
"5-Methoxyindoleacetic acid","Com_6156_neg","5-Methoxyindoleacetic acid","C11 H11 N O3",205.07386,5.425,204.06662,"Full match","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indole-3-acetic acid derivatives",1095234.223,1088156.415,984988.6326,1491932.858,1379888.071,1112329.541,2001625.993,2555934.891,2088436.037,20.70036266936,20.0086700232325,0.691692646127407,0.0114365050779221,0.102770258702815,"up",1.51034629321671
"Fosfomycin","Com_6174_neg","Fosfomycin","C3 H7 O4 P",138.00823,1.463,183.00651,"No results","No results","Full match","Organic acids and derivatives","Organic phosphonic acids and derivatives","Organic phosphonic acids","Organic phosphonic acids",2378760.107,2625499.945,2607032.697,2453812.863,2930330.586,2467834.925,2635084.37,1904204.711,3462215.624,21.3095798810378,21.2733054455904,0.0362744354473854,0.783191113636663,0.557922145283482,"stable",0.169059876439639
"4-Butylresorcinol","Com_6236_neg","4-Butylresorcinol","C10 H14 O2",166.0994,6.018,211.09761,"No results","No results","Full match","Benzenoids","Phenols","Benzenediols","Resorcinols",5521935.939,6516473.007,11751461.21,5217488.433,5398843.7,5945992.834,7086168.264,5168448.454,7466206.347,22.512074574578,22.8395798127599,-0.327505238181899,0.428822848605598,0.429672133229522,"stable",0.939027985587541
"L-Anserine (beta-alanyl-N-methylhistidine) (nitrate salt)","Com_6260_neg","L-Anserine (beta-alanyl-N-methylhistidine) (nitrate salt)","C10 H16 N4 O3",240.11513,7.176,239.10785,"No results","Invalid mass","No results",NA,NA,NA,NA,2815154.95,1978479.777,3201575.845,3063891.939,2041528.832,2672764.974,2264261.446,1584961.662,3006900.266,21.1807542111722,21.3170315156494,-0.136277304477169,0.621518504340978,0.500380589642703,"stable",0.423548359906262
"10-Hydroxydecanoic acid","Com_6308_neg","10-Hydroxydecanoic acid","C10 H20 O3",188.14137,5.953,169.12354,"No results","No results","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",2984117.6,3738077.926,4008771.92,3197748.455,3497001.88,3845006.85,3604800.477,2764407.96,3546656.339,21.6931536840528,21.7591556937617,-0.066002009708896,0.679373158122709,0.522616362037515,"stable",0.404855803119505
"Maltotriose","Com_6332_neg","Maltotriose","C18 H32 O16",504.17136,9.191,503.16408,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides",3492769.584,3213040.021,3954917.041,4328868.313,2842544.157,4789167.342,3552621.946,2507902.142,2822511.694,21.6871172870466,21.7555545212451,-0.0684372341985764,0.708876219002601,0.533210431974955,"stable",0.24079336038534
"LPS 17:0","Com_6394_neg","LPS 17:0","C23 H46 N O9 P",511.29119,9.552,510.28392,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",614628.341,679516.7682,715412.8619,1726509.841,1379693.75,1481100.912,1290706.205,2013510.527,1644897.077,20.5840264930702,19.3506403078871,1.23338618518314,1.3925555047964e-05,0.00289766853969482,"up",2.06371911500421
"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-fluoro-1H-benzimidazole","Com_6406_neg","2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-fluoro-1H-benzimidazole","C18 H24 F N3",301.2003,5.62,300.19302,"Invalid mass","No results","No results","Organoheterocyclic compounds","Benzimidazoles","Not available","Benzimidazoles",3190302.778,3470343.616,3373901.489,2947275.791,3544905.024,2649077.67,2927048.423,2941859.584,3622347.985,21.5571884581915,21.6726318090936,-0.115443350902105,0.197039025454397,0.316282045031848,"stable",0.807390888237664
"LPC O-14:1","Com_6438_neg","LPC O-14:1","C22 H46 N O6 P",497.31193,9.092,496.30449,"No results","Invalid mass","No results",NA,NA,NA,NA,599977.0249,1826581.784,433113.4603,1578910.345,2124683.509,880474.611600001,483190.9652,1242917.581,1624091.808,20.1859951899447,19.5732160448236,0.612779145121113,0.446382562739501,0.43629894878018,"stable",0.760547150008745
"19-Nortestosterone","Com_6454_neg","19-Nortestosterone","C18 H26 O2",274.19318,8.943,273.1859,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrogens and derivatives",1064108.731,1442810.738,1545651.409,1701237.75,845780.337500001,1456682.774,1410656.367,1650071.465,1367227.784,20.3878644283472,20.3471494438515,0.0407149844956294,0.861733116583971,0.581346240083403,"stable",0.136602592077569
"3-Methyluridine","Com_6462_neg","3-Methyluridine","C10 H14 N2 O6",258.08522,4.1,257.07798,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",1332764.119,1833973.6,909253.540000001,2088544.204,2650084.68,821616.7642,1336415.582,844954.5935,1117972.806,20.3517807672345,20.3156181959684,0.036162571266086,0.932229959145119,0.600353009150083,"stable",0.0649132815901096
"Dithranol","Com_6509_neg","Dithranol","C14 H10 O3",226.06302,6.184,225.05576,"No results","No results","Full match","Benzenoids","Anthracenes","Not available","Anthracenes",1648823.733,2060195.606,2453261.215,2171797.614,1528444.236,1706828.537,2745490.681,1442015.496,1175882.105,20.7184295402295,20.9512083535356,-0.232778813306052,0.376785852381355,0.408177927601955,"stable",0.640216049961083
"Cyclamic acid","Com_6532_neg","Cyclamic acid","C6 H13 N O3 S",179.06188,5.366,178.0546,"Full match","No results","Full match","Organic acids and derivatives","Sulfamic acid derivatives","Cyclamates","Cyclamates",138422.6417,238715.0691,172664.9841,149705.4017,77438.2648,187919.9048,122587.306,60998.50287,1589652.042,17.3920833301877,17.4470888485335,-0.0550055183457836,0.941894705324064,0.602825051670406,"stable",0.0442270242050014
"Homo-Gamma-Linolenic Acid (C20:3)","Com_6536_neg","Homo-Gamma-Linolenic Acid (C20:3)","C20 H34 O2",306.25587,10.5,305.24859,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",999873.756600001,1356635.964,893688.938300001,1372415.779,627301.869199999,1202741.712,693251.5659,1145068.168,679504.1418,19.7915210451233,20.0241339606821,-0.232612915558882,0.423301842778522,0.427519182217959,"stable",0.572321687635664
"15-Keto prostaglandin A1","Com_6564_neg","15-Keto prostaglandin A1","C20 H30 O4",334.21469,7.006,333.20742,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",6613566.50000001,3077842.751,3863217.182,8290439.169,4397234.782,5483090.22200001,8896211.32,4748436.842,5317012.495,22.5072842167472,22.0306188342046,0.476665382542549,0.283668618938453,0.36693163169314,"stable",1.03113441562914
"15(R)-Prostaglandin E2","Com_6576_neg","15(R)-Prostaglandin E2","C20 H32 O5",352.22525,7.097,351.21797,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",3110565.435,2399304.907,2654238.712,4054239.45699999,2603664.153,2731845.411,3752977.414,2129236.969,2528780.975,21.4626793577693,21.3675990665184,0.0950802912509161,0.618582674449724,0.49919688240538,"stable",0.340215429438363
"PC 14:0_20:4","Com_6608_neg","PC 14:0_20:4","C42 H76 N O8 P",799.53702,8.851,798.52975,"No results","Invalid mass","No results",NA,NA,NA,NA,2542202.506,4636208.133,3840053.611,6060276.10499999,174704.9712,9068306.32399999,10322172.98,4981429.034,6274635.85,21.8643978073569,21.7649521506106,0.0994456567462869,0.919315271568837,0.597001262172458,"stable",0.0609081805502426
"LPS 20:1","Com_6634_neg","LPS 20:1","C26 H50 N O9 P",551.32215,10.765,550.31518,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",302934.3745,462121.9704,254834.6784,608688.7613,496802.4817,494927.7156,377967.3018,530182.8766,377396.8199,18.8540452605623,18.3285873373202,0.525457923242143,0.162054436287522,0.292013610076764,"stable",1.39768779538771
"PC O-16:0_14:1","Com_6736_neg","PC O-16:0_14:1","C38 H76 N O7 P",735.53893,11.072,734.53165,"No results","Invalid mass","No results",NA,NA,NA,NA,865049.630900001,888953.989400001,962376.949099999,764872.1686,742009.104,932933.759,1746173.839,567895.78,727868.0954,19.7002835906866,19.7868050560218,-0.0865214653352488,0.723082132809534,0.538145606158242,"stable",0.210870159964005
"2,4-Dihydroxybenzoic acid","Com_6881_neg","2,4-Dihydroxybenzoic acid","C7 H6 O4",154.02415,4.679,153.01665,"Invalid mass","No results","No results","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",1751443.367,1504720.138,1422854.926,1840760.481,1577008.76,1777774.926,1290750.345,1352858.336,1483011.499,20.5549545390439,20.567177935224,-0.0122233961800653,0.924399807867996,0.598327539006768,"stable",0.0731039242097785
"2-Deoxyuridine","Com_6883_neg","2-Deoxyuridine","C9 H12 N2 O5",228.07469,4.967,227.06743,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides","Pyrimidine 2'-deoxyribonucleosides",631662.940000001,908427.6679,957181.9849,814877.697200001,1337178.688,909534.984199999,990983.624999999,2915563.815,2576273.121,20.4120756233428,19.6434137484257,0.768661874917036,0.0795295338394995,0.217920913709568,"stable",1.10347806893138
"L-Arabinitol","Com_6945_neg","L-Arabinitol","C5 H12 O5",152.06851,5.952,189.01712,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",4717864.466,6347691.459,7523492.32400001,3263205.792,4913037.776,6769239.505,5504996.766,1032140.756,5793140.07199999,21.8986729127138,22.536824729197,-0.63815181648323,0.205861964451282,0.321587953560272,"stable",0.789729246621581
"LPA 20:4","Com_6965_neg","LPA 20:4","C23 H39 O7 P",458.24301,9.453,457.23573,"No results","Full match","No match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",1662055.212,1149369.18,1829831.89,2031578.309,655210.972700001,1074639.555,932806.504399999,916635.8977,1016948.076,19.984035520786,20.5334091322836,-0.549373611497572,0.116050747505842,0.255543557061463,"stable",1.10961437592429
"Neohesperidin","Com_7024_neg","Neohesperidin","C28 H34 O15",610.1906,5.598,609.18333,"Full match","No results","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides",732690.3643,864818.075899999,1092163.813,551948.155,333850.6106,849868.1451,502118.4736,1676252.516,303785.7165,19.1578444581151,19.7545463667064,-0.596701908591346,0.191630275737487,0.312882375646777,"stable",0.809651468453728
"Resolvin E1","Com_7033_neg","Resolvin E1","C20 H30 O5",350.20939,6.379,349.20212,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Hydroxyeicosapentaenoic acids",1320803.02,1082734.621,741136.185899999,1736503.563,769476.4224,1044216.839,3165605.981,1053920.498,750575.1692,20.2323805581455,19.959537094709,0.272843463436455,0.524800857474727,0.462318023828027,"stable",0.434624610373485
"LPG O-15:0","Com_7038_neg","LPG O-15:0","C21 H45 O8 P",456.28544,8.881,455.27817,"No results","Full match","No results",NA,NA,NA,NA,715771.9577,651298.685,694748.7295,699389.691599999,532253.029,695152.755800001,770148.2635,966566.998200001,553110.532099999,19.3931592384947,19.3894106838851,0.0037485546096292,0.97887848940537,0.61200884509573,"stable",0.0159947254143979
"1,2,3-Benzenetricarboxylic acid","Com_7054_neg","1,2,3-Benzenetricarboxylic acid","C9 H6 O6",210.01662,5.284,209.00934,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters",202393.0225,212445.6371,202005.7472,189237.6762,192340.1255,183994.4609,3713632.772,171997.3284,195032.3504,18.2270371923011,17.6491903441579,0.577846848143128,0.458784675084329,0.440786852813254,"stable",0.438805574872991
"LPS 14:0","Com_7064_neg","LPS 14:0","C20 H40 N O9 P",469.24411,8.612,468.23684,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",212418.7194,194528.6165,220125.2757,219552.9336,161641.7152,220965.958,281610.1494,537426.2756,188792.0738,17.9109332890051,17.6713798482504,0.239553440754705,0.38809409087289,0.41302834912919,"stable",0.517490973440636
"LPE O-22:2","Com_7067_neg","LPE O-22:2","C27 H54 N O6 P",519.36867,11.461,518.3614,"No results","Full match","No results",NA,NA,NA,NA,261961.6207,387376.8793,201336.3943,639823.190000001,820921.8086,895433.137700001,1130530.971,860330.671599999,832301.0587,19.6993786680512,18.0605409055435,1.63883776250772,0.0160045397622726,0.120196522349307,"up",2.01793920444721
"trans-Petroselinic Acid","Com_7073_neg","trans-Petroselinic Acid","C18 H34 O2",328.2611,9.119,327.25382,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",3701083.599,3262794.771,2224802.208,1157800.458,1006096.47,1730565.948,4730824.698,1958049.432,5810004.672,21.0584764711849,21.5141462526225,-0.455669781437571,0.375312067296023,0.407532947900299,"stable",0.561057704939081
