"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_2w_1","MV4_11_2w_2","MV4_11_2w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"N-Acetyl-L-histidine","Com_5592_neg","N-Acetyl-L-histidine","C8 H11 N3 O3",197.08019,1.465,196.07303,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",2608557.29,3376317.376,1635340.244,3052943.388,2516060.011,2406830.374,21.3344024488548,21.2143330603601,0.12006938849467,0.71761474799839,0.580864579109512,"stable",0.331525442183311
"2,3-dihydro-5-nitro-2-spiro(cyclohexyl)benzimidazole","Com_5594_neg","2,3-dihydro-5-nitro-2-spiro(cyclohexyl)benzimidazole","C12 H15 N3 O2",233.11633,6.529,232.10872,"Full match","No results","No results",NA,NA,NA,NA,1384702.188,1121007.066,926555.794699999,1025215.552,1725940.247,1287154.989,20.3274004257458,20.1063421879897,0.221058237756054,0.572073793490053,0.537148193324886,"stable",0.679097225891576
"UMP","Com_5596_neg","UMP","C9 H13 N2 O9 P",324.03613,6.565,323.02873,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",26960562.82,26267345.21,19669919.91,31384025.76,4023257.129,94575485.42,24.4461408476778,24.5202006958473,-0.0740598481695329,0.963728924764717,0.650491596510117,"stable",0.0501204937533788
"6-Phosphogluconic acid","Com_5599_neg","6-Phosphogluconic acid","C6 H13 O10 P",276.02411,5.243,275.01683,"No results","No results","Full match",NA,NA,NA,NA,342915.2476,331721.4805,468594.2738,515896.1851,556747.9567,430345.306,18.9261737641555,18.5216950796277,0.404478684527792,0.269743307437705,0.456855825507584,"stable",1.31437250893838
"PA 2:0_16:0","Com_5900_neg","PA 2:0_16:0","C21 H41 O8 P",452.25434,10.359,451.24706,"No results","Full match","No results",NA,NA,NA,NA,250622.2282,163961.5763,925835.853299999,674266.9428,438522.7899,685412.5988,19.1639552745672,18.359516665591,0.804438608976209,0.323434974669442,0.475592534451676,"stable",0.832714719262346
"Cynaropicrin","Com_5918_neg","Cynaropicrin","C19 H22 O6",392.14769,5.697,391.14041,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Guaianolides and derivatives",176766.2801,185247.8595,131050.9457,193195.5592,192968.0882,159343.1335,17.4664941636139,17.3101163844174,0.156377779196539,0.141071130597895,0.38227057640491,"stable",0.718802540753778
"Carnosine","Com_6051_neg","Carnosine","C9 H14 N4 O3",226.10549,1.346,261.07451,"No results","No results","Full match","Organic acids and derivatives","Peptidomimetics","Hybrid peptides","Hybrid peptides",1004669.987,957582.6075,730608.4029,948339.785400001,1083227.789,883325.2362,19.8848449882716,19.7620221659712,0.122822822300325,0.368708999186747,0.487937430308007,"stable",0.627293687566984
"11(Z)-Eicosenoic acid","Com_6068_neg","11(Z)-Eicosenoic acid","C20 H38 O2",356.29256,9.901,355.28529,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",809725.543799999,427550.9157,1458172.158,346644.0573,370563.5681,311278.1288,18.3834339046949,19.6028466015812,-1.21941269688624,0.171838707997,0.402831240944839,"stable",1.38730541440574
"Hexadecanedioic acid","Com_6071_neg","Hexadecanedioic acid","C16 H30 O4",286.21453,7.033,285.20726,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",10563869.49,9523031.157,10454216.17,8234743.901,8609612.73100001,8056466.353,22.9841750110832,23.2777353433954,-0.293560332312222,0.0583475034381987,0.353495121664768,"stable",1.70120535761071
"3,14-dihydro-15-keto-tetranor Prostaglandin E2","Com_6114_neg","3,14-dihydro-15-keto-tetranor Prostaglandin E2","C16 H26 O5",280.16513,7.252,279.15786,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclopentanols",3522410.677,2879830.519,3915341.235,2754632.563,2831190.13,2075093.467,21.2703835193196,21.7021302630486,-0.431746743728951,0.238911599300698,0.443279678097343,"stable",1.35385641057618
"5-Methoxyindoleacetic acid","Com_6156_neg","5-Methoxyindoleacetic acid","C11 H11 N O3",205.07386,5.425,204.06662,"Full match","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indole-3-acetic acid derivatives",841528.951200001,866521.0148,568397.683,1341208.119,1061529.677,927075.528100001,20.0650474395115,19.5080232468208,0.557024192690701,0.0521511621573401,0.350846370642439,"stable",1.35198643773909
"Fosfomycin","Com_6174_neg","Fosfomycin","C3 H7 O4 P",138.00823,1.463,183.00651,"No results","No results","Full match","Organic acids and derivatives","Organic phosphonic acids and derivatives","Organic phosphonic acids","Organic phosphonic acids",2886924.485,3563361.818,1971524.502,2766357.934,2820127.792,2630314.58,21.3845631453515,21.3789298995776,0.00563324577383284,0.981902538418184,0.654726960654664,"stable",0.020342018691162
"4-Butylresorcinol","Com_6236_neg","4-Butylresorcinol","C10 H14 O2",166.0994,6.018,211.09761,"No results","No results","Full match","Benzenoids","Phenols","Benzenediols","Resorcinols",6551716.53000001,4515619.861,3510605.551,4554107.485,5039014.622,7050906.25200001,22.3776081304979,22.16440753058,0.213200599917911,0.677678650312981,0.566863085613309,"stable",0.568856271065578
"L-Anserine (beta-alanyl-N-methylhistidine) (nitrate salt)","Com_6260_neg","L-Anserine (beta-alanyl-N-methylhistidine) (nitrate salt)","C10 H16 N4 O3",240.11513,7.176,239.10785,"No results","Invalid mass","No results",NA,NA,NA,NA,2936038.996,2728374.709,1566541.879,3518006.442,2429693.034,2645367.839,21.4312354106776,21.148067323615,0.283168087062663,0.399641080454287,0.495042557128264,"stable",0.719503698711907
"10-Hydroxydecanoic acid","Com_6308_neg","10-Hydroxydecanoic acid","C10 H20 O3",188.14137,5.953,169.12354,"No results","No results","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",4617221.493,4248011.32100001,2807659.972,4045076.185,3386013.762,2741770.358,21.6751893867039,21.8592954953184,-0.184106108614436,0.161594375399348,0.396218289387194,"stable",0.57734579036674
"Maltotriose","Com_6332_neg","Maltotriose","C18 H32 O16",504.17136,9.191,503.16408,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides",3657259.961,2630098.84,505309.2485,2441769.637,2538132.522,2798276.396,21.3036462248621,20.6919414647292,0.61170476013292,0.582489818386406,0.54018936722917,"stable",0.593660201233766
"LPS 17:0","Com_6394_neg","LPS 17:0","C23 H46 N O9 P",511.29119,9.552,510.28392,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",474398.5777,820235.9736,511797.4478,1139359.112,754317.8579,1088340.834,19.8994343888344,19.1555443597066,0.743890029127712,0.229620107333848,0.438664815110838,"stable",1.39526960981961
"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-fluoro-1H-benzimidazole","Com_6406_neg","2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-fluoro-1H-benzimidazole","C18 H24 F N3",301.2003,5.62,300.19302,"Invalid mass","No results","No results","Organoheterocyclic compounds","Benzimidazoles","Not available","Benzimidazoles",4445973.657,4208329.962,2428355.078,2916927.353,3056085.863,2444696.746,21.41349858588,21.7668107748961,-0.353312189016151,0.198436988302041,0.420956904065749,"stable",0.933197173944335
"LPC O-14:1","Com_6438_neg","LPC O-14:1","C22 H46 N O6 P",497.31193,9.092,496.30449,"No results","Invalid mass","No results",NA,NA,NA,NA,290392.5963,323398.867,420433.8903,710162.595400001,348224.9893,771846.5408,19.135134857886,18.3773732286652,0.757761629220777,0.160457212953815,0.395515296710387,"stable",1.2544561045267
"19-Nortestosterone","Com_6454_neg","19-Nortestosterone","C18 H26 O2",274.19318,8.943,273.1859,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrogens and derivatives",2701482.161,1526784.024,2295592.311,2935982.503,1654517.231,1434608.149,20.8652053753258,21.01260643539,-0.147401060064258,0.63446543046054,0.555145013066364,"stable",0.329765823175001
"3-Methyluridine","Com_6462_neg","3-Methyluridine","C10 H14 N2 O6",258.08522,4.1,257.07798,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",4173352.702,5619297.887,3006455.128,1754632.166,1912691.171,2055595.981,20.8603450055063,21.9781219559426,-1.11777695043629,0.0642656446929116,0.355575735033983,"stable",1.63826585980763
"Dithranol","Com_6509_neg","Dithranol","C14 H10 O3",226.06302,6.184,225.05576,"No results","No results","Full match","Benzenoids","Anthracenes","Not available","Anthracenes",2401843.788,1892100.96,1593998.44,1726622.148,2029212.746,3308366.165,21.1098990512905,20.8838291066562,0.226069944634371,0.662587211457444,0.562632516124032,"stable",0.588954749133828
"Cyclamic acid","Com_6532_neg","Cyclamic acid","C6 H13 N O3 S",179.06188,5.366,178.0546,"Full match","No results","Full match","Organic acids and derivatives","Sulfamic acid derivatives","Cyclamates","Cyclamates",145688.1769,64574.57412,512914.2188,62626.80576,63578.37021,59279.24798,15.9153268719282,17.3665203067056,-1.45119343477736,0.248116949991529,0.447597071370384,"stable",1.16421297000153
"Homo-Gamma-Linolenic Acid (C20:3)","Com_6536_neg","Homo-Gamma-Linolenic Acid (C20:3)","C20 H34 O2",306.25587,10.5,305.24859,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",588246.915999999,470422.7331,881168.3989,1033234.632,357075.2479,1112816.463,19.5034631061186,19.2529062706715,0.250556835447121,0.550472771486465,0.530593059309642,"stable",0.376203841105223
"15-Keto prostaglandin A1","Com_6564_neg","15-Keto prostaglandin A1","C20 H30 O4",334.21469,7.006,333.20742,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",5553840.872,5515278.984,2731420.437,2687500.98,5501571.487,2941954.905,21.7458632984016,22.0604256047281,-0.314562306326486,0.48243343544101,0.510241410808503,"stable",0.576855340283544
"15(R)-Prostaglandin E2","Com_6576_neg","15(R)-Prostaglandin E2","C20 H32 O5",352.22525,7.097,351.21797,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",4348763.118,2569978.191,4627957.121,1883617.635,1759129.361,1659250.48,20.7512017041388,21.8291474826669,-1.07794577852815,0.0601199355583153,0.354158561677513,"stable",1.62015771619526
"PC 14:0_20:4","Com_6608_neg","PC 14:0_20:4","C42 H76 N O8 P",799.53702,8.851,798.52975,"No results","Invalid mass","No results",NA,NA,NA,NA,10188834.19,7447513.112,6368177.146,14027148.53,26768568.16,19148461.13,24.202160061108,22.9037540056783,1.29840605542967,0.09256343820837,0.361997638069837,"stable",1.61554823066976
"LPS 20:1","Com_6634_neg","LPS 20:1","C26 H50 N O9 P",551.32215,10.765,550.31518,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",166575.0931,358244.3469,632444.6463,1152888.9,456666.6733,628665.3716,19.3998456055837,18.3556590926473,1.04418651293635,0.357040837003466,0.484998325421322,"stable",1.10552530850259
"PC O-16:0_14:1","Com_6736_neg","PC O-16:0_14:1","C38 H76 N O7 P",735.53893,11.072,734.53165,"No results","Invalid mass","No results",NA,NA,NA,NA,819491.3614,1016811.519,523931.4274,1566280.547,3550635.519,5486327.24,21.5753221009601,19.5330028472276,2.0423192537325,0.104643918784976,0.363719884063055,"stable",1.56715439310572
"2,4-Dihydroxybenzoic acid","Com_6881_neg","2,4-Dihydroxybenzoic acid","C7 H6 O4",154.02415,4.679,153.01665,"Invalid mass","No results","No results","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",5349616.166,4985502.713,3530167.728,4241063.428,2995398.632,3158263.918,21.7070038377616,22.1172056025658,-0.410201764804221,0.137284837963178,0.379370537003379,"stable",1.17465491645756
"2-Deoxyuridine","Com_6883_neg","2-Deoxyuridine","C9 H12 N2 O5",228.07469,4.967,227.06743,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides","Pyrimidine 2'-deoxyribonucleosides",487411.4708,626264.1635,661304.3468,2221479.574,1496115.546,825895.2419,20.4171596293917,19.1620491127769,1.25511051661483,0.145345402282041,0.385412060199213,"stable",1.4924847865266
"L-Arabinitol","Com_6945_neg","L-Arabinitol","C5 H12 O5",152.06851,5.952,189.01712,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",5502625.39300001,5197984.55999999,3985732.276,5021661.041,5127147.70599999,4419534.331,22.2083070619095,22.2092076598643,-0.000900597954746729,0.992202531655269,0.657082112545064,"stable",0.00517288920689367
"LPA 20:4","Com_6965_neg","LPA 20:4","C23 H39 O7 P",458.24301,9.453,457.23573,"No results","Full match","No match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",4889481.069,3931664.874,4467544.995,1910298.805,1492079.473,1986607.902,20.7653785208752,22.0730032264697,-1.30762470559448,0.00287581793534103,0.242551827094095,"down",1.76690600947321
"Neohesperidin","Com_7024_neg","Neohesperidin","C28 H34 O15",610.1906,5.598,609.18333,"Full match","No results","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides",972594.970600001,583130.5282,1036527.626,289933.4067,329054.4414,596481.669399999,18.5531490313423,19.6760886902834,-1.12293965894106,0.0691497188539033,0.357039099553931,"stable",1.46236758509673
"Resolvin E1","Com_7033_neg","Resolvin E1","C20 H30 O5",350.20939,6.379,349.20212,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Hydroxyeicosapentaenoic acids",1847609.067,296152.1329,738685.827100001,535848.077399999,268196.385,433978.872199999,18.5972200171939,19.4959361411316,-0.898716123937739,0.201282597579182,0.422733384709496,"stable",0.875507022025565
"LPG O-15:0","Com_7038_neg","LPG O-15:0","C21 H45 O8 P",456.28544,8.881,455.27817,"No results","Full match","No results",NA,NA,NA,NA,585774.7093,554085.1912,1981986.447,12612849.32,590404.988900001,578677.3753,20.6340453303939,19.7194167770811,0.914628553312802,0.668038161203666,0.564032977433661,"stable",0.501215314550505
"1,2,3-Benzenetricarboxylic acid","Com_7054_neg","1,2,3-Benzenetricarboxylic acid","C9 H6 O6",210.01662,5.284,209.00934,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters",179790.7538,176965.3079,241976.3453,189047.6534,192403.6648,168819.429,17.4824295312317,17.5911909457565,-0.108761414524814,0.649925911516459,0.559316870731981,"stable",0.590764362285897
"LPS 14:0","Com_7064_neg","LPS 14:0","C20 H40 N O9 P",469.24411,8.612,468.23684,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",2692802.175,2345076.529,1612871.173,3787848.396,3818241.847,2848582.504,21.7197456584832,21.0476933893698,0.67205226911339,0.0198254828046622,0.314647663436995,"up",1.43574113538489
"LPE O-22:2","Com_7067_neg","LPE O-22:2","C27 H54 N O6 P",519.36867,11.461,518.3614,"No results","Full match","No results",NA,NA,NA,NA,97661.23377,91045.1415200001,64415.96674,109110.3536,108583.4425,100403.3658,16.6931070640444,16.3416411690387,0.351465895005699,0.139239653883659,0.380881975049757,"stable",1.23578197271667
"trans-Petroselinic Acid","Com_7073_neg","trans-Petroselinic Acid","C18 H34 O2",328.2611,9.119,327.25382,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",1948577.64,1488182.351,1822003.481,1563647.641,1181801.517,1483609.381,20.4165734018032,20.7320680513557,-0.315494649552491,0.00110236867116999,0.186768169948755,"down",1.23512138775702
"5-Dehydroquinic acid","Com_7122_neg","5-Dehydroquinic acid","C7 H10 O6",190.04789,4.979,189.04057,"No results","Full match","No results","Organic acids and derivatives","Hydroxy acids and derivatives","Alpha hydroxy acids and derivatives","Alpha hydroxy acids and derivatives",1895395.261,1962984.454,1413845.811,2117622.702,2155778.485,2037998.672,21.0041711095915,20.7299593282065,0.274211781385045,0.163191337207336,0.397193107037077,"stable",1.21768112623763
"LPC 20:1","Com_7124_neg","LPC 20:1","C28 H56 N O7 P",595.38539,10.508,594.37811,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",582674.9927,781864.107300001,1188246.817,1215088.911,522663.0114,501812.7751,19.3816472215631,19.6364311099177,-0.254783888354655,0.745572537001279,0.590139755058787,"stable",0.439134261244483
"Prostaglandin G2","Com_7190_neg","Prostaglandin G2","C20 H32 O6",368.21987,6.546,349.20199,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1671757.771,393204.624,585846.6263,351422.9236,521014.899500001,473267.681,18.7553702536659,19.4726728827202,-0.717302629054316,0.461477791541306,0.50683057200603,"stable",0.882685457979636
"Pantetheine","Com_7305_neg","Pantetheine","C11 H22 N2 O4 S",278.13026,5.224,277.12266,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Beta amino acids and derivatives",863001.7859,541319.495500001,297395.908,354661.7212,585257.9937,665056.157499999,18.9793046509783,18.9823833708068,-0.00307871982843011,0.996924709120789,0.658151156920168,"stable",0.00534142082929205
"Ribulose-5-phosphate","Com_7306_neg","Ribulose-5-phosphate","C5 H11 O8 P",230.01916,1.195,211.00121,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",2538252.247,2839986.785,1445242.377,3767227.36,4975455.865,4665257.829,22.0816647812851,21.0585789453894,1.02308583589575,0.0953807758289383,0.362436742870755,"stable",1.53444212054005
"Docosapentaenoic acid","Com_7336_neg","Docosapentaenoic acid","C22 H34 O2",330.25589,10.191,329.24861,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",876832.949899999,707751.772399999,2145410.478,961494.220500001,317167.0885,676377.9494,19.1724241035672,20.0692162304283,-0.896792126861161,0.235865387777455,0.441796243748274,"stable",1.00034454057712
"Taurocholic acid","Com_7417_neg","Taurocholic acid","C26 H45 N O7 S",515.29214,6.807,514.28487,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives",2793305.232,3655979.75,1968277.154,2069406.745,1801648.263,1805330.534,20.848501108799,21.3746234661419,-0.526122357342963,0.18334574592369,0.410903370018249,"stable",1.27602087829807
"cis-2-Decenoic acid","Com_7439_neg","cis-2-Decenoic acid","C10 H18 O2",170.13081,5.95,169.12353,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",4617221.493,4248011.32100001,2565502.662,3895500.284,3386013.762,2741770.358,21.6570699684621,21.8159199276879,-0.158849959225741,0.344878653677764,0.481764531909593,"stable",0.460915214167167
"LPS 18:2","Com_7496_neg","LPS 18:2","C24 H44 N O9 P",521.27396,9.267,520.26669,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",3018622.056,2669397.561,3759975.035,4600770.20599999,2582982.196,3448700.41,21.7172238713815,21.5719443712717,0.14527950010978,0.595739619133557,0.54405582074531,"stable",0.455702398733598
"19(R)-Hydroxy prostaglandin F2α","Com_7505_neg","19(R)-Hydroxy prostaglandin F2α","C20 H34 O6",352.2251,6.342,351.21782,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1297397.478,2796514.238,5484261.76399999,1403605.933,2790282.861,3750568.642,21.2237881286456,21.3697511185653,-0.145962989919735,0.548404907813089,0.529947229024732,"stable",0.180101838965898
"Deoxyribose 5-Phosphate","Com_7507_neg","Deoxyribose 5-Phosphate","C5 H11 O7 P",214.02432,1.375,213.01705,"No results","No results","Full match",NA,NA,NA,NA,10158088.41,11209578.83,6040787.899,8388601.666,10581526.73,8168722.249,23.0989074573958,23.0735532130959,0.0253542442998977,0.915907720451772,0.638833857277058,"stable",0.0764907417247227
"DY131","Com_7521_neg","DY131","C18 H21 N3 O2",311.16369,8.087,310.15642,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acids and derivatives",833741.7108,689417.3803,96504524.3099999,2128680.514,1903141.293,735375.5707,20.4565336583738,21.8627841252654,-1.40625046689161,0.66693483387593,0.563750798035859,"stable",0.514625175306126
"CerP 15:0;2O/2:0","Com_7522_neg","CerP 15:0;2O/2:0","C17 H36 N O6 P",381.22781,8.164,380.22054,"No results","Full match","No results",NA,NA,NA,NA,2056974.568,2198060.266,1930698.591,3326914.148,3275468.598,2645784.369,21.5480957166776,20.9735278547234,0.574567861954201,0.0141251306044728,0.294841932749986,"up",1.678458626478
"6α-Prostaglandin I1","Com_7629_neg","6α-Prostaglandin I1","C20 H34 O5",336.23036,7.33,335.22308,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",6304361.741,3547654.325,3016481.862,2868095.111,2301310.408,3186084.213,21.3963461889932,21.9569294591542,-0.560583270160954,0.252488444652067,0.449564600805639,"stable",1.13433339473245
"Boc-beta-cyano-L-alanine","Com_7657_neg","Boc-beta-cyano-L-alanine","C9 H14 N2 O4",214.0954,5.208,213.08812,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acids and derivatives",881102.087200001,1058434.954,719971.5347,1376331.012,1206479.132,1048814.936,20.1983654301796,19.7400103939348,0.458355036244807,0.0797685552015048,0.359631607399411,"stable",1.38026601311891
"(±)9-HpODE","Com_7661_neg","(±)9-HpODE","C18 H32 O4",312.23019,8.328,311.22291,"Full match","No results","Full match",NA,NA,NA,NA,3339749.953,2992795.697,1210543.288,2691694.723,4772264.03200001,3762390.997,21.7965147180599,21.1305314222321,0.665983295827751,0.357819253513284,0.485199235013211,"stable",0.977494300345355
"Soyasaponin I","Com_7743_neg","Soyasaponin I","C48 H78 O18",942.52101,7.241,941.51373,"Full match","No results","No results","Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides","Triterpene saponins",127353.9259,119633.169,1923548.071,108641.4968,123290.7955,120415.8868,16.8395291749588,18.2340267589594,-1.39449758400059,0.396839898738145,0.494436771439373,"stable",0.848027478529858
"4-Amino-5-imidazolecarboxamide","Com_7770_neg","4-Amino-5-imidazolecarboxamide","C4 H6 N4 O",126.0542,5.2,107.03637,"No results","No results","Full match","Organoheterocyclic compounds","Azoles","Imidazoles","Aminoimidazoles",2352174.145,2179812.224,1244794.725,2274415.826,1982039.871,2502868.929,21.096923492196,20.82293743231,0.273986059885935,0.53389294358943,0.525320573053947,"stable",0.743812043162212
"LPE 20:2","Com_7881_neg","LPE 20:2","C25 H48 N O7 P",505.31661,9.937,504.30965,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",547874.3376,799437.276000001,1205831.986,1888551.123,782722.326799999,997603.437799999,20.1183654635577,19.6245694319144,0.493796031643384,0.526540054062985,0.522911419571433,"stable",0.802817630846379
"LPC 18:2","Com_7927_neg","LPC 18:2","C26 H50 N O7 P",565.33831,9.208,564.33103,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",1280664.795,2172796.969,1757645.422,4019217.086,2559340.034,3228940.971,21.6161510379717,20.6949320160663,0.921219021905458,0.152933357040184,0.390669471589807,"stable",1.53750413858615
"FAHFA 18:0/3:0","Com_7933_neg","FAHFA 18:0/3:0","C21 H40 O4",356.29286,11.312,355.28558,"No results","Full match","Full match",NA,NA,NA,NA,82391.7577299999,79124.6792800001,744439.9869,77311.23922,92665.6662700001,84586.2748499999,16.3687579304769,17.3692828505937,-1.00052492011675,0.449376070972857,0.504738745298893,"stable",0.769324881833344
"Dihydroxyacetone phosphate","Com_7935_neg","Dihydroxyacetone phosphate","C3 H7 O6 P",123.99249,1.414,122.98524,"No results","Invalid mass","No results","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Monosaccharide phosphates",42137320.16,37797922.99,27892379.9,21990665.31,25495500.58,20215805.62,24.4210358689527,25.0779221847252,-0.656886315772443,0.0447367557284801,0.346791056960331,"down",1.54590938419654
"Lysope 16:0","Com_7943_neg","Lysope 16:0","C21 H44 N O7 P",453.28574,8.463,452.27847,"No results","No results","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-(1Z-alkenyl)-glycero-3-phosphoethanolamines",1466134.702,1732076.414,1512594.64,2568502.397,2270828.088,2318843.573,21.1840857066846,20.5787504521893,0.605335254495305,0.0376209181701814,0.341538969313462,"up",1.73935252062583
"trans-10-Heptadecenoic acid","Com_7944_neg","trans-10-Heptadecenoic acid","C17 H32 O2",314.24567,7.877,313.23844,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",3150592.091,2800831.486,5518233.878,2807131.638,2664667.284,2919286.154,21.4144578223682,21.8001301588324,-0.385672336464236,0.286570357410884,0.463312201731869,"stable",0.973252558875329
"o-Cresol","Com_7947_neg","o-Cresol","C7 H8 O",108.05759,5.229,107.05031,"No results","No results","Full match","Benzenoids","Phenols","Cresols","Ortho cresols",3179259.765,3284891.073,2186224.707,3411186.367,2765774.429,3143808.61,21.561725391561,21.4358946103954,0.125830781165551,0.629778446738149,0.553852567569185,"stable",0.526336650193084
"Dl-3-Hydroxy-kynurenine","Com_7967_neg","Dl-3-Hydroxy-kynurenine","C10 H12 N2 O4",224.0797,5.152,223.07239,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Alkyl-phenylketones",1102181.554,943606.9264,334471.0838,1025997.798,751539.7752,1944646.04,20.1263874305018,19.4237596348609,0.702627795640979,0.525129284722258,0.522444044271413,"stable",0.840032016243358
"LPA 12:0","Com_7983_neg","LPA 12:0","C15 H31 O7 P",354.17969,7.918,353.17242,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",581515.647200001,620368.112,129016.9328,1830365.621,1459221.544,1479912.075,20.592515989079,18.4564747968471,2.13604119223195,0.0932690886181323,0.362110008053005,"stable",1.48927549407298
"N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide","Com_8064_neg","N'1-[1-(2-hydroxyphenyl)ethylidene]-3-methoxybenzene-1-carbohydrazide","C16 H16 N2 O3",284.11762,7.15,283.11035,"Invalid mass","No results","No results",NA,NA,NA,NA,4374132.153,516348.696500001,10799715.2,2957289.407,5656491.713,4292193.71,21.9868679562723,21.4676804826302,0.519187473642148,0.759813939398869,0.594708378389771,"stable",0.348642892678162
