"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MV4_11_WT_1","MV4_11_WT_2","MV4_11_WT_3","MV4_11_6w_1","MV4_11_6w_2","MV4_11_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"5-chloro-N-(4-morpholinophenyl)-1H-indole-2-carboxamide","Com_4954_neg","5-chloro-N-(4-morpholinophenyl)-1H-indole-2-carboxamide","C19 H18 Cl N3 O2",355.11481,5.437,354.10753,"Invalid mass","No results","No results",NA,NA,NA,NA,2018434.99,2216780.616,1378605.364,5408371.62,2035086.464,1502928.307,21.280922091892,20.8065394545342,0.47438263735777,0.426509004610075,0.477315649211557,"stable",0.794009602473747
"5-Phenylvaleric Acid","Com_5019_neg","5-Phenylvaleric Acid","C11 H14 O2",178.09942,6.413,177.09214,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",4316791.22,3873145.077,3365185.445,6625879.406,5324926.427,2517221.569,22.0891371520038,21.8696188593956,0.219518292608161,0.566270812416544,0.500889610824167,"stable",0.524521494717843
"LPA 18:0","Com_5102_neg","LPA 18:0","C21 H43 O7 P",438.27468,10.475,437.26741,"No results","Full match","Full match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",870137.328300001,1590973.734,2255040.487,2960463.28,2800606.221,2518591.782,21.3929617071447,20.4790280257384,0.913933681406256,0.189180576468584,0.437095967315633,"stable",1.60220669416481
"LPE 12:0","Com_5137_neg","LPE 12:0","C17 H36 N O7 P",397.22325,7.795,396.21597,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines","1-acyl-sn-glycero-3-phosphoethanolamines",1772706.56,2214902.226,1367483.809,400724.5105,2783445.821,2016551.837,20.3213836207585,20.739808739132,-0.418425118373538,0.676691856483793,0.528917125376933,"stable",0.492015570133882
"13,14-Dihydro-15-keto Prostaglandin A2","Com_5193_neg","13,14-Dihydro-15-keto Prostaglandin A2","C20 H30 O4",334.21462,6.874,333.20734,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",11498720.57,6866109.998,5325945.079,8051329.767,5033523.229,4021583.675,22.3810883659885,22.8368792233462,-0.455790857357687,0.00479688914999228,0.27838925679511,"down",0.986550984231445
"FAHFA 18:0/20:2","Com_5202_neg","FAHFA 18:0/20:2","C38 H70 O4",590.52542,11.246,589.51814,"No results","Full match","No results",NA,NA,NA,NA,880632.439599999,845250.407200001,1695071.168,1814306.974,1692621.61,1529887.171,20.6756030108006,20.0433713867607,0.632231624039878,0.246657393901654,0.452696218952907,"stable",1.47737943862509
"PG 18:1_22:6","Com_5263_neg","PG 18:1_22:6","C46 H77 O10 P",820.52679,9.791,819.51951,"No results","Full match","No results",NA,NA,NA,NA,13809286.49,19106551.3,14584469.79,25171822.57,17012938.24,2145852.721,23.2128516542342,23.9015430361378,-0.688691381903592,0.588977327497981,0.504333597700144,"stable",0.634993516185469
"3-(3-Methoxyphenyl)propionic acid","Com_5297_neg","3-(3-Methoxyphenyl)propionic acid","C10 H12 O3",180.07866,5.879,179.07138,"No results","No results","Full match",NA,NA,NA,NA,9047992.851,5937849.934,6111605.625,9166322.34600001,2616990.206,4212942.502,22.1512618267505,22.717931860387,-0.566670033636459,0.24401942501791,0.452122050148033,"stable",0.965546571493209
"1-Pyrenol","Com_5300_neg","1-Pyrenol","C16 H10 O",218.07261,4.801,217.06534,"Full match","No results","No results","Benzenoids","Pyrenes","Not available","Pyrenes",99010.1175799999,140071.8294,690277.061099999,112201.9965,96948.66391,670025.7775,17.5648430974309,17.6959705551095,-0.131127457678577,0.596122808957568,0.505372322178947,"stable",0.112918051019339
"Taurolithocholic acid","Com_5318_neg","Taurolithocholic acid","C26 H45 N O5 S",483.30209,8.023,482.29481,"No results","No results","Full match",NA,NA,NA,NA,5929672.19,5180544.955,5494853.88200001,1329830.528,3237660.533,2301686.454,21.0345303847832,22.3979476810116,-1.36341729622831,0.0868033841174974,0.376852961326927,"stable",1.8764033471986
"MGDG O-13:1_20:4","Com_5351_neg","MGDG O-13:1_20:4","C42 H72 O9",766.53467,8.536,765.52739,"No results","Invalid mass","No results",NA,NA,NA,NA,45047638.06,55257035.69,35342979.13,85083856.0699999,9841855.885,16735007.29,24.5230822957554,25.4065077598297,-0.883425464074303,0.465680782158168,0.482846928414181,"stable",0.9011698382658
"Prostaglandin H2","Com_5433_neg","Prostaglandin H2","C20 H32 O5",334.21422,7.404,333.20699,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",7334064.91099999,3864203.788,4140008.095,4201749.177,3549499.063,2513471.903,21.6743309152876,22.2230411705354,-0.548710255247848,0.124780071068018,0.406100132309648,"stable",1.28862841238047
"8-iso-15-keto Prostaglandin F2α","Com_5459_neg","8-iso-15-keto Prostaglandin F2α","C20 H32 O5",352.22523,6.814,351.21791,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",700889.240599999,1309625.785,1629968.463,1460804.028,1142757.022,1711834.468,20.4365100807981,20.1253209246436,0.311189156154491,0.500890223341593,0.489570477544052,"stable",0.774007213152644
"JWH 018 N-pentanoic acid metabolite","Com_5494_neg","JWH 018 N-pentanoic acid metabolite","C24 H21 N O3",407.1325,5.56,406.12522,"Invalid mass","No results","No results","Organoheterocyclic compounds","Indoles and derivatives","Naphthoylindoles","Naphthoylindoles",801280.628799999,259327.9461,759981.8016,5122825.33199999,2305900.892,491399.743999999,20.7773149762364,19.0439905265926,1.73332444964378,0.282291134179581,0.459510152897087,"stable",1.30917392895813
"13,14-Dihydro-15-keto Prostaglandin E1","Com_5508_neg","13,14-Dihydro-15-keto Prostaglandin E1","C20 H34 O5",336.23072,6.624,335.22301,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",4372396.03000001,1097304.456,1460461.43,1397362.644,1393964.162,1217939.842,20.3470161774821,20.8678393045486,-0.520823127066549,0.469926244100973,0.483612601226504,"stable",0.840871728400128
"N-(4-chlorophenethyl)-N'-(4-chlorophenyl)urea","Com_5535_neg","N-(4-chlorophenethyl)-N'-(4-chlorophenyl)urea","C15 H14 Cl2 N2 O",354.05627,11.963,353.04899,"Invalid mass","No results","No results",NA,NA,NA,NA,24951681,26464991.71,22038640.78,13993329.3,26603138.38,17462618.3,24.1536985275989,24.5412491524985,-0.387550624899571,0.253704304664415,0.454178176743949,"stable",1.21302121503137
"N-Acetyl-L-histidine","Com_5592_neg","N-Acetyl-L-histidine","C8 H11 N3 O3",197.08019,1.465,196.07303,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Histidine and derivatives",2608557.29,3376317.376,1635340.244,1364343.618,2645474.052,1042326.402,20.5687487138071,21.2143330603601,-0.645584346553065,0.0617652339667983,0.352878942738737,"stable",1.1587976122643
"2,3-dihydro-5-nitro-2-spiro(cyclohexyl)benzimidazole","Com_5594_neg","2,3-dihydro-5-nitro-2-spiro(cyclohexyl)benzimidazole","C12 H15 N3 O2",233.11633,6.529,232.10872,"Full match","No results","No results",NA,NA,NA,NA,1384702.188,1121007.066,926555.794699999,1498608.677,1842015.418,780593.974700001,20.3007529289663,20.1063421879897,0.19441074097664,0.560693252834882,0.50000858623606,"stable",0.496025710425947
"UMP","Com_5596_neg","UMP","C9 H13 N2 O9 P",324.03613,6.565,323.02873,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleotides","Pyrimidine ribonucleotides","Pyrimidine ribonucleoside monophosphates",26960562.82,26267345.21,19669919.91,29105373.53,32943097.69,16638378.65,24.585422200214,24.5202006958473,0.0652215043666615,0.73167169779664,0.547061156366081,"stable",0.207069282988777
"6-Phosphogluconic acid","Com_5599_neg","6-Phosphogluconic acid","C6 H13 O10 P",276.02411,5.243,275.01683,"No results","No results","Full match",NA,NA,NA,NA,342915.2476,331721.4805,468594.2738,332981.1185,354947.0215,480489.2801,18.5521565825587,18.5216950796277,0.0304615029309652,0.530685588919182,0.495010140831061,"stable",0.143236201889167
"PA 2:0_16:0","Com_5900_neg","PA 2:0_16:0","C21 H41 O8 P",452.25434,10.359,451.24706,"No results","Full match","No results",NA,NA,NA,NA,250622.2282,163961.5763,925835.853299999,2163896.984,1021913.198,2951294.324,20.8336526628428,18.359516665591,2.47413599725176,0.0280294789191705,0.323712513538045,"up",1.7497564560254
"Cynaropicrin","Com_5918_neg","Cynaropicrin","C19 H22 O6",392.14769,5.697,391.14041,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones","Guaianolides and derivatives",176766.2801,185247.8595,131050.9457,200853.1845,164593.8629,91365.0593100001,17.1412292497883,17.3101163844174,-0.168887134629056,0.493754999006703,0.488189676155207,"stable",0.471016997637623
"Carnosine","Com_6051_neg","Carnosine","C9 H14 N4 O3",226.10549,1.346,261.07451,"No results","No results","Full match","Organic acids and derivatives","Peptidomimetics","Hybrid peptides","Hybrid peptides",1004669.987,957582.6075,730608.4029,982288.005899999,980037.786899999,452525.8374,19.5319683496561,19.7620221659712,-0.230053816315117,0.424740474525978,0.47708493720682,"stable",0.594787675143895
"11(Z)-Eicosenoic acid","Com_6068_neg","11(Z)-Eicosenoic acid","C20 H38 O2",356.29256,9.901,355.28529,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",809725.543799999,427550.9157,1458172.158,583913.0247,520941.436600001,1461193.571,19.5416238392202,19.6028466015812,-0.0612227623609805,0.807588988795922,0.571390061376519,"stable",0.0944194615333544
"Hexadecanedioic acid","Com_6071_neg","Hexadecanedioic acid","C16 H30 O4",286.21453,7.033,285.20726,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",10563869.49,9523031.157,10454216.17,12581389.37,8784461.07,5688365.562,23.0302976710337,23.2777353433954,-0.247437672361702,0.534605263810589,0.495688995372011,"stable",0.744373120897773
"3,14-dihydro-15-keto-tetranor Prostaglandin E2","Com_6114_neg","3,14-dihydro-15-keto-tetranor Prostaglandin E2","C16 H26 O5",280.16513,7.252,279.15786,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols","Cyclopentanols",3522410.677,2879830.519,3915341.235,3609647.499,2668827.978,1521001.138,21.2225970719391,21.7021302630486,-0.479533191109461,0.393289399363328,0.473431619534475,"stable",1.12847719062931
"5-Methoxyindoleacetic acid","Com_6156_neg","5-Methoxyindoleacetic acid","C11 H11 N O3",205.07386,5.425,204.06662,"Full match","No results","Full match","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indole-3-acetic acid derivatives",841528.951200001,866521.0148,568397.683,721060.9291,1156244.89,787382.688600001,19.7291608909585,19.5080232468208,0.221137644137702,0.425120503602851,0.477134656621824,"stable",0.772039488386062
"Fosfomycin","Com_6174_neg","Fosfomycin","C3 H7 O4 P",138.00823,1.463,183.00651,"No results","No results","Full match","Organic acids and derivatives","Organic phosphonic acids and derivatives","Organic phosphonic acids","Organic phosphonic acids",2886924.485,3563361.818,1971524.502,3219201.282,1804890.834,434747.1237,20.3771894870403,21.3789298995776,-1.00174041253736,0.276096736170385,0.458438528175827,"stable",1.04891251950161
"4-Butylresorcinol","Com_6236_neg","4-Butylresorcinol","C10 H14 O2",166.0994,6.018,211.09761,"No results","No results","Full match","Benzenoids","Phenols","Benzenediols","Resorcinols",6551716.53000001,4515619.861,3510605.551,1994807.274,6568365.842,4078278.7,21.8448166433049,22.16440753058,-0.319590887275012,0.694465446046246,0.534100475699749,"stable",0.585020632338749
"L-Anserine (beta-alanyl-N-methylhistidine) (nitrate salt)","Com_6260_neg","L-Anserine (beta-alanyl-N-methylhistidine) (nitrate salt)","C10 H16 N4 O3",240.11513,7.176,239.10785,"No results","Invalid mass","No results",NA,NA,NA,NA,2936038.996,2728374.709,1566541.879,3419451.521,2711987.877,1022579.455,21.0133447729832,21.148067323615,-0.134722550631739,0.642948150072253,0.519507878359644,"stable",0.237269926433332
"10-Hydroxydecanoic acid","Com_6308_neg","10-Hydroxydecanoic acid","C10 H20 O3",188.14137,5.953,169.12354,"No results","No results","Full match","Organic acids and derivatives","Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",4617221.493,4248011.32100001,2807659.972,5421728.43,3423131.711,1870084.26,21.637292879319,21.8592954953184,-0.222002615999383,0.453146026979544,0.480596707714583,"stable",0.467746379847189
"Maltotriose","Com_6332_neg","Maltotriose","C18 H32 O16",504.17136,9.191,503.16408,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Oligosaccharides",3657259.961,2630098.84,505309.2485,3540050.784,2899349.282,676558.9972,20.8634975197402,20.6919414647292,0.171556055010978,0.334337839151049,0.467085949256206,"stable",0.158193449792776
"LPS 17:0","Com_6394_neg","LPS 17:0","C23 H46 N O9 P",511.29119,9.552,510.28392,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",474398.5777,820235.9736,511797.4478,3251031.182,3019331.07,2246617.057,21.4191954307638,19.1555443597066,2.26365107105718,0.0136096548469923,0.303167863160901,"up",2.07595636061464
"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-fluoro-1H-benzimidazole","Com_6406_neg","2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-fluoro-1H-benzimidazole","C18 H24 F N3",301.2003,5.62,300.19302,"Invalid mass","No results","No results","Organoheterocyclic compounds","Benzimidazoles","Not available","Benzimidazoles",4445973.657,4208329.962,2428355.078,3813927.782,3245371.546,1752811.695,21.4113459679203,21.7668107748961,-0.35546480697586,0.0392284312869996,0.329733141595735,"down",0.802266126171647
"LPC O-14:1","Com_6438_neg","LPC O-14:1","C22 H46 N O6 P",497.31193,9.092,496.30449,"No results","Invalid mass","No results",NA,NA,NA,NA,290392.5963,323398.867,420433.8903,701341.166999999,474221.8578,754007.7353,19.2663931071522,18.3773732286652,0.889019878487012,0.0511128878178602,0.337783252101079,"stable",1.84968618338852
"19-Nortestosterone","Com_6454_neg","19-Nortestosterone","C18 H26 O2",274.19318,8.943,273.1859,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Estrane steroids","Estrogens and derivatives",2701482.161,1526784.024,2295592.311,1655366.795,2349390.343,408841.4855,20.1545855213699,21.01260643539,-0.858020914020088,0.441566162561098,0.479213499490617,"stable",1.00568291232977
"3-Methyluridine","Com_6462_neg","3-Methyluridine","C10 H14 N2 O6",258.08522,4.1,257.07798,"No results","Full match","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Not available","Pyrimidine nucleosides",4173352.702,5619297.887,3006455.128,399142.2061,2297972.002,970910.053999999,19.8758170761442,21.9781219559426,-2.10230487979839,0.0836352590143913,0.374298890089746,"stable",1.72769746037748
"Dithranol","Com_6509_neg","Dithranol","C14 H10 O3",226.06302,6.184,225.05576,"No results","No results","Full match","Benzenoids","Anthracenes","Not available","Anthracenes",2401843.788,1892100.96,1593998.44,2302151.522,2635385.494,960406.196499999,20.7791397084355,20.8838291066562,-0.104689398220692,0.79288870772202,0.566885309798235,"stable",0.229046062907855
"Cyclamic acid","Com_6532_neg","Cyclamic acid","C6 H13 N O3 S",179.06188,5.366,178.0546,"Full match","No results","Full match","Organic acids and derivatives","Sulfamic acid derivatives","Cyclamates","Cyclamates",145688.1769,64574.57412,512914.2188,298729.1134,58038.68821,738991.511600001,17.8361346264676,17.3665203067056,0.46961431976198,0.306198036077619,0.463278814295048,"stable",0.359410735017772
"Homo-Gamma-Linolenic Acid (C20:3)","Com_6536_neg","Homo-Gamma-Linolenic Acid (C20:3)","C20 H34 O2",306.25587,10.5,305.24859,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",588246.915999999,470422.7331,881168.3989,1072804.191,1729973.41,1738776.34,20.494971573207,19.2529062706715,1.24206530253555,0.0604276525501308,0.351211873203415,"stable",1.86734597881034
"15-Keto prostaglandin A1","Com_6564_neg","15-Keto prostaglandin A1","C20 H30 O4",334.21469,7.006,333.20742,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",5553840.872,5515278.984,2731420.437,11250853.9,6957997.98099999,3086156.523,22.5703839327627,22.0604256047281,0.509958328034585,0.187125811859642,0.436387325671874,"stable",0.792221728953764
"15(R)-Prostaglandin E2","Com_6576_neg","15(R)-Prostaglandin E2","C20 H32 O5",352.22525,7.097,351.21797,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",4348763.118,2569978.191,4627957.121,4881379.509,1519946.424,1282419.427,21.0149610951722,21.8291474826669,-0.814186387494704,0.297525548497326,0.461974736214771,"stable",1.12255525893221
"PC 14:0_20:4","Com_6608_neg","PC 14:0_20:4","C42 H76 N O8 P",799.53702,8.851,798.52975,"No results","Invalid mass","No results",NA,NA,NA,NA,10188834.19,7447513.112,6368177.146,8959577.333,13448824.37,6237804.824,23.1161943184682,22.9037540056783,0.21244031278987,0.578562987352508,0.502781733344968,"stable",0.581740045227502
"LPS 20:1","Com_6634_neg","LPS 20:1","C26 H50 N O9 P",551.32215,10.765,550.31518,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",166575.0931,358244.3469,632444.6463,325569.4591,948370.1394,614213.812,19.132025995645,18.3556590926473,0.776366902997644,0.211597823571808,0.444053130355747,"stable",1.02353394471704
"PC O-16:0_14:1","Com_6736_neg","PC O-16:0_14:1","C38 H76 N O7 P",735.53893,11.072,734.53165,"No results","Invalid mass","No results",NA,NA,NA,NA,819491.3614,1016811.519,523931.4274,4367028.758,1744522.477,102766.1839,19.813875813974,19.5330028472276,0.280872966746468,0.859303779661963,0.586519139900297,"stable",0.181741540033418
"2,4-Dihydroxybenzoic acid","Com_6881_neg","2,4-Dihydroxybenzoic acid","C7 H6 O4",154.02415,4.679,153.01665,"Invalid mass","No results","No results","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Hydroxybenzoic acid derivatives",5349616.166,4985502.713,3530167.728,1761397.441,4824617.10400001,1501784.648,21.1561728607721,22.1172056025658,-0.961032741793673,0.177066948844255,0.432718046663187,"stable",1.39913667185611
"2-Deoxyuridine","Com_6883_neg","2-Deoxyuridine","C9 H12 N2 O5",228.07469,4.967,227.06743,"No results","No results","Full match","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides","Pyrimidine 2'-deoxyribonucleosides",487411.4708,626264.1635,661304.3468,592929.7207,1212427.533,1953428.027,20.0948484492941,19.1620491127769,0.932799336517196,0.12763196619616,0.407999229732617,"stable",1.43593718161786
"L-Arabinitol","Com_6945_neg","L-Arabinitol","C5 H12 O5",152.06851,5.952,189.01712,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar alcohols",5502625.39300001,5197984.55999999,3985732.276,5801463.049,5489580.09400001,2840765.707,22.0980327104086,22.2092076598643,-0.11117494945567,0.615430085375914,0.511351005629322,"stable",0.326894826057369
"LPA 20:4","Com_6965_neg","LPA 20:4","C23 H39 O7 P",458.24301,9.453,457.23573,"No results","Full match","No match","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphates","1,2-diacylglycerol-3-phosphates",4889481.069,3931664.874,4467544.995,895509.445999999,2516032.382,1228901.029,20.4213351615431,22.0730032264697,-1.65166806492664,0.0898348443645167,0.379157736303019,"stable",1.88398851324782
"Neohesperidin","Com_7024_neg","Neohesperidin","C28 H34 O15",610.1906,5.598,609.18333,"Full match","No results","No results","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides","Flavonoid O-glycosides",972594.970600001,583130.5282,1036527.626,819212.0527,696197.330300001,1090036.351,19.7029863295405,19.6760886902834,0.026897639257129,0.871746787368381,0.590001256924082,"stable",0.0890969822102563
"Resolvin E1","Com_7033_neg","Resolvin E1","C20 H30 O5",350.20939,6.379,349.20212,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Hydroxyeicosapentaenoic acids",1847609.067,296152.1329,738685.827100001,567579.3357,545947.7586,450132.8508,18.9842857507659,19.4959361411316,-0.511650390365709,0.566996239664759,0.501003150021804,"stable",0.676981846717388
"LPG O-15:0","Com_7038_neg","LPG O-15:0","C21 H45 O8 P",456.28544,8.881,455.27817,"No results","Full match","No results",NA,NA,NA,NA,585774.7093,554085.1912,1981986.447,632185.417000001,538474.273400001,2371876.609,19.8287012175066,19.7194167770811,0.109284440425512,0.334602867430733,0.467119033963937,"stable",0.129296040582933
"1,2,3-Benzenetricarboxylic acid","Com_7054_neg","1,2,3-Benzenetricarboxylic acid","C9 H6 O6",210.01662,5.284,209.00934,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acid esters",179790.7538,176965.3079,241976.3453,225007.4436,177583.7215,178944.4563,17.5556351142259,17.5911909457565,-0.035555831530619,0.886480978352088,0.594049457314952,"stable",0.205615708435098
"LPS 14:0","Com_7064_neg","LPS 14:0","C20 H40 N O9 P",469.24411,8.612,468.23684,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",2692802.175,2345076.529,1612871.173,182844.2083,3434377.053,1525847.561,19.9110172728044,21.0476933893698,-1.13667611656537,0.497770275190067,0.488970620612775,"stable",0.870389542741229
"LPE O-22:2","Com_7067_neg","LPE O-22:2","C27 H54 N O6 P",519.36867,11.461,518.3614,"No results","Full match","No results",NA,NA,NA,NA,97661.23377,91045.1415200001,64415.96674,3763645.22,137722.9863,46191.40751,18.1368153128637,16.3416411690387,1.79517414382497,0.415933885762062,0.475910340370467,"stable",0.909710195289655
"trans-Petroselinic Acid","Com_7073_neg","trans-Petroselinic Acid","C18 H34 O2",328.2611,9.119,327.25382,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",1948577.64,1488182.351,1822003.481,2633749.061,2080856.797,1314570.7,20.8811976735869,20.7320680513557,0.149129622231211,0.678287572491865,0.529346887369729,"stable",0.491740965915157
"5-Dehydroquinic acid","Com_7122_neg","5-Dehydroquinic acid","C7 H10 O6",190.04789,4.979,189.04057,"No results","Full match","No results","Organic acids and derivatives","Hydroxy acids and derivatives","Alpha hydroxy acids and derivatives","Alpha hydroxy acids and derivatives",1895395.261,1962984.454,1413845.811,2501707.126,2049369.076,1763548.622,20.9904265966844,20.7299593282065,0.260467268477925,0.12504395525621,0.406278735234765,"stable",1.13300314036062
"LPC 20:1","Com_7124_neg","LPC 20:1","C28 H56 N O7 P",595.38539,10.508,594.37811,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",582674.9927,781864.107300001,1188246.817,2156477.827,1406411.15,1421336.121,20.6342162568337,19.6364311099177,0.997785146915977,0.171237117330942,0.430425860622349,"stable",1.73863450325234
"Prostaglandin G2","Com_7190_neg","Prostaglandin G2","C20 H32 O6",368.21987,6.546,349.20199,"No results","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1671757.771,393204.624,585846.6263,555623.1975,582972.7522,850775.0668,19.3117448216473,19.4726728827202,-0.160928061072919,0.842650947842827,0.581765310253132,"stable",0.262691473957199
"Pantetheine","Com_7305_neg","Pantetheine","C11 H22 N2 O4 S",278.13026,5.224,277.12266,"No results","No results","Full match","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Beta amino acids and derivatives",863001.7859,541319.495500001,297395.908,344957.6893,1008742.159,322812.8183,18.8801747544841,18.9823833708068,-0.102208616322685,0.889584124901307,0.594891872960732,"stable",0.15758068017276
"Ribulose-5-phosphate","Com_7306_neg","Ribulose-5-phosphate","C5 H11 O8 P",230.01916,1.195,211.00121,"No results","No results","Full match","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Pentose phosphates",2538252.247,2839986.785,1445242.377,2249563.759,3151448.982,3009949.535,21.4033685239672,21.0585789453894,0.344789578577785,0.448636781513676,0.480065627108383,"stable",0.975448283224885
"Docosapentaenoic acid","Com_7336_neg","Docosapentaenoic acid","C22 H34 O2",330.25589,10.191,329.24861,"Full match","No results","Full match","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Very long-chain fatty acids",876832.949899999,707751.772399999,2145410.478,760238.827500001,1399499.202,1368837.021,20.1123638902917,20.0692162304283,0.0431476598633651,0.937507191074161,0.607471473003161,"stable",0.0813687372491255
"Taurocholic acid","Com_7417_neg","Taurocholic acid","C26 H45 N O7 S",515.29214,6.807,514.28487,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Bile acids, alcohols and derivatives","Trihydroxy bile acids, alcohols and derivatives",2793305.232,3655979.75,1968277.154,1453057.641,1640939.272,994040.992000001,20.3465655806958,21.3746234661419,-1.02805788544608,0.00397577530169564,0.27838925679511,"down",1.79272543290392
"cis-2-Decenoic acid","Com_7439_neg","cis-2-Decenoic acid","C10 H18 O2",170.13081,5.95,169.12353,"Full match","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Medium-chain fatty acids",4617221.493,4248011.32100001,2565502.662,4993692.122,3423131.711,1870084.26,21.5977442211277,21.8159199276879,-0.218175706560103,0.329734973888385,0.466503637628543,"stable",0.465972231238429
"LPS 18:2","Com_7496_neg","LPS 18:2","C24 H44 N O9 P",521.27396,9.267,520.26669,"No results","Full match","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",3018622.056,2669397.561,3759975.035,1170616.026,6047793.597,3796764.734,21.5143843837377,21.5719443712717,-0.0575599875340096,0.944783080061103,0.609313372338683,"stable",0.085746317555928
"19(R)-Hydroxy prostaglandin F2α","Com_7505_neg","19(R)-Hydroxy prostaglandin F2α","C20 H34 O6",352.2251,6.342,351.21782,"Invalid mass","No results","No match","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",1297397.478,2796514.238,5484261.76399999,790935.5544,3132417.062,14761101.7,21.6624475230603,21.3697511185653,0.29269640449504,0.684192161482516,0.530925665210204,"stable",0.229662943750759
"Deoxyribose 5-Phosphate","Com_7507_neg","Deoxyribose 5-Phosphate","C5 H11 O7 P",214.02432,1.375,213.01705,"No results","No results","Full match",NA,NA,NA,NA,10158088.41,11209578.83,6040787.899,4551179.11,7619184.148,4613281.534,22.3721253114963,23.0735532130959,-0.701427901599622,0.0952768191597015,0.382988598221639,"stable",1.47761060438178
"DY131","Com_7521_neg","DY131","C18 H21 N3 O2",311.16369,8.087,310.15642,"No results","No results","Full match","Benzenoids","Benzene and substituted derivatives","Benzoic acids and derivatives","Benzoic acids and derivatives",833741.7108,689417.3803,96504524.3099999,918301.5552,1579102.128,160916468.9,22.5536727524152,21.8627841252654,0.690888627149807,0.152381058259613,0.422023848687065,"stable",0.221983188877576
