"","Compound_ID","Name","Formula","Molecular.Weight","RT.[min]","m/z","mzCloud_Results","mzVault_Results","MassList_Results","Class_I","Class_II","Class_III","Class_IV","MOLM13_WT_1","MOLM13_WT_2","MOLM13_WT_3","MOLM13_6w_1","MOLM13_6w_2","MOLM13_6w_3","meanA","meanB","logFC","pvalue","qvalue","change","VIP"
"(2E)-4-Hydroxy-3,7-dimethyl-2,6-octadien-1-yl beta-D-glucopyranoside","Com_3973_pos","(2E)-4-Hydroxy-3,7-dimethyl-2,6-octadien-1-yl beta-D-glucopyranoside","C16 H28 O7",349.20784,7.111,350.21512,"Invalid mass","No results","No results",NA,NA,NA,NA,1068307.499,953334.117,982322.7313,741551.534200001,919914.553699999,790559.2134,19.6346139225832,19.9317851659516,-0.297171243368428,0.163084366786125,0.255295504652269,"stable",1.33378661827759
"2-[(3S)-1-(2-Pyridinylmethyl)-3-pyrrolidinyl]-1,3-benzothiazole","Com_3990_pos","2-[(3S)-1-(2-Pyridinylmethyl)-3-pyrrolidinyl]-1,3-benzothiazole","C17 H17 N3 S",273.13287,4.774,296.12215,"Invalid mass","No results","No results","Organoheterocyclic compounds","Benzothiazoles","Not available","Benzothiazoles",4429694.562,5174473.631,6668110.05000001,5435815.691,5133546.68400001,5591706.04899999,22.3601488915603,22.3502009869014,0.00994790465888684,0.95578165085826,0.543704789650812,"stable",0.0461280523751402
"2-phenyl-2,4,6,7-tetrahydrothiino[4,3-c]pyrazol-3-ol","Com_4009_pos","2-phenyl-2,4,6,7-tetrahydrothiino[4,3-c]pyrazol-3-ol","C12 H12 N2 O S",232.0691,5.942,233.07637,"Invalid mass","No results","No results",NA,NA,NA,NA,5188469.616,4766239.757,4872518.324,4815407.70900001,5906846.434,4762304.959,22.2921372580143,22.2358446368092,0.0562926212051309,0.703984177057514,0.467419438423859,"stable",0.413108785885829
"PS 32:1","Com_4070_pos","PS 32:1","C38 H72 N O10 P",755.472,9.679,756.47928,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoserines","Phosphatidylserines",20844665.4,19903364.88,19317777.5,3576031.419,4195667.685,4360830.576,21.9421894919118,24.2543698946023,-2.31218040269049,0.00263835788125424,0.175649834815837,"down",1.62528300229563
"Methyldopa","Com_4104_pos","Methyldopa","C10 H13 N O4",211.08477,1.514,229.11859,"No results","No results","Full match","Phenylpropanoids and polyketides","Phenylpropanoic acids","Not available","Phenylpropanoic acids",2087725.8,2448809.1,2322416.517,7165303.889,1953553.343,3001504.622,21.7291733798251,21.121448332931,0.607725046894149,0.429844577500139,0.389269081080764,"stable",0.782340656038008
"DL-5-Methoxytryptophan","Com_4119_pos","DL-5-Methoxytryptophan","C12 H14 N2 O3",234.10078,5.264,235.10797,"Full match","No results","No results","Organoheterocyclic compounds","Indoles and derivatives","Tryptamines and derivatives","Serotonins",2546533.401,2430034.617,2727474.233,5976406.277,4248448.865,4074925.049,22.1625645527751,21.2905942603785,0.87197029239654,0.0447627688792317,0.188737303056854,"up",1.50524743971605
"Oleoyl ethanolamide","Com_4139_pos","Oleoyl ethanolamide","C20 H39 N O2",331.3089,7.877,332.31618,"Invalid mass","No results","No results","Organic nitrogen compounds","Organonitrogen compounds","Amines","N-acylethanolamines",8154525.41,839312.3567,1491006.51,237765.0212,1226607.848,2622318.212,19.8026103173772,21.0486243019412,-1.24601398456393,0.584454689578177,0.432867004921204,"stable",0.65541260702775
"7-(1H-pyrrol-1-yl)-5H-chromeno[2,3-b]pyridin-5-one","Com_4149_pos","7-(1H-pyrrol-1-yl)-5H-chromeno[2,3-b]pyridin-5-one","C16 H10 N2 O2",262.07457,6.78,263.08185,"Full match","No results","No results",NA,NA,NA,NA,4891019.25200001,495719.9542,504934.3223,407384.1795,460900.4346,408771.0337,18.6970198247936,20.0288685801737,-1.3318487553801,0.359238624150027,0.363789055192245,"stable",0.845555454177693
"N-(p-Coumaroyl) serotonin","Com_4168_pos","N-(p-Coumaroyl) serotonin","C19 H18 N2 O3",644.26633,5.997,645.27361,"Invalid mass","No results","No results","Organoheterocyclic compounds","Indoles and derivatives","Tryptamines and derivatives","N-acylserotonins",4674391.326,650917.3722,2094974.887,1558815.522,4154377.464,2874579.533,21.337713054067,20.8223211663209,0.51539188774618,0.715843010184019,0.471580124729393,"stable",0.438459248530417
"SPB 17:1;2O","Com_4175_pos","SPB 17:1;2O","C17 H35 N O2",285.26702,7.237,286.2743,"No results","Full match","No results",NA,NA,NA,NA,8150672.36200001,3103067.289,6163811.146,1118735.774,5818224.96500001,3980034.812,21.4966450582282,22.3597141411959,-0.863069082967726,0.513178632734485,0.413179352176852,"stable",0.752310667579806
"N~5~-(1,3,5-trimethyl-1H-pyrazol-4-yl)-1H-1,2,4-triazole-3,5-diamine","Com_4211_pos","N~5~-(1,3,5-trimethyl-1H-pyrazol-4-yl)-1H-1,2,4-triazole-3,5-diamine","C8 H13 N7",207.12375,5.829,208.13103,"Full match","No results","No results",NA,NA,NA,NA,3678126.656,3236627.899,4937100.715,4031229.153,4841986.98,4643415.791,22.09890372478,21.8906108194014,0.208292905378592,0.401203404844871,0.379611735898138,"stable",0.761192899486259
"(3R)-8-hydroxy-3-(4-methoxyphenyl)-3,4-dihydro-1H-2-benzopyran-1-one","Com_4223_pos","(3R)-8-hydroxy-3-(4-methoxyphenyl)-3,4-dihydro-1H-2-benzopyran-1-one","C16 H14 O4",252.079,7.463,253.08627,"Invalid mass","No results","No results",NA,NA,NA,NA,3573765.672,3167566.958,3538668.162,2680588.158,2837726.368,2571265.116,21.3614897142569,21.7062441151262,-0.344754400869345,0.0669527482737006,0.198109908396157,"stable",1.51263094030798
"PE O-16:1_16:1","Com_4225_pos","PE O-16:1_16:1","C37 H72 N O7 P",673.50517,9.286,674.51245,"No results","Full match","No results",NA,NA,NA,NA,84542167.1600001,82558699.3400001,82479607.5599999,84214345.06,104757951.6,80768766.72,26.4124471186773,26.3098729327212,0.102574185956055,0.484945272509125,0.405696035402805,"stable",0.655052078220977
"13,14-Dihydro prostaglandin E1","Com_4241_pos","13,14-Dihydro prostaglandin E1","C20 H36 O5",338.24419,7.684,339.25147,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",3577812.007,3811040.633,3331452.969,3063863.011,3916317.435,3801409.381,21.7686965362447,21.7667066030589,0.00198993318588236,0.988371004907255,0.552009960683849,"stable",0.0129924503704027
"6,7,8-trimethoxy-3-phenyl-2-thioxo-1,2,3,4-tetrahydroquinazolin-4-one","Com_4267_pos","6,7,8-trimethoxy-3-phenyl-2-thioxo-1,2,3,4-tetrahydroquinazolin-4-one","C17 H16 N2 O4 S",344.08068,11.539,345.08795,"Invalid mass","No results","No results",NA,NA,NA,NA,3179730.692,3127771.52,2801913.697,2341911.266,2733571.38,2554759.222,21.2754554993576,21.5317193126557,-0.256263813298087,0.11261963687277,0.225381744769973,"stable",1.35233040452621
"o-Toluic Acid","Com_4272_pos","o-Toluic Acid","C8 H8 O2",136.05264,5.988,137.05992,"No results","No results","Full match",NA,NA,NA,NA,33570911.35,29347442.01,30889430.3,25292165.56,30338645.58,26364769.24,24.6996495369029,24.8960165728611,-0.196367035958218,0.27716155238966,0.325390583797774,"stable",1.15716990917935
"MGMG (18:2)","Com_4274_pos","MGMG (18:2)","C27 H48 O9",516.32778,1.793,259.17116,"No results","No results","Full match",NA,NA,NA,NA,1038557.309,986467.617300001,975024.560799999,825734.064,888040.180500001,782424.223699999,19.6643915454633,19.9310468665444,-0.266655321081057,0.0436760938051698,0.188603217062321,"down",1.48748774117164
"4-(2,3-dihydro-1,4-benzodioxin-6-yl)butanoic acid","Com_4287_pos","4-(2,3-dihydro-1,4-benzodioxin-6-yl)butanoic acid","C12 H14 O4",222.09072,5.08,483.14557,"Invalid mass","No results","No results",NA,NA,NA,NA,1602614.809,1119154.865,2216357.379,2185336.939,1255705.88,1753071.92,20.6869817373422,20.5952445452549,0.0917371920873293,0.728388353932377,0.475911490973806,"stable",0.201959623761847
"Tomatidine","Com_4317_pos","Tomatidine","C27 H45 N O2",415.34522,10.839,416.35249,"Full match","No results","No results","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroidal alkaloids","Spirosolanes and derivatives",1592400.605,2266179.248,1536760.783,1205727.881,1477382.588,2467531.012,20.6435739161591,20.7553545397484,-0.111780623589301,0.807229746454755,0.501586313127123,"stable",0.253134798819568
"PE O-18:2_22:6","Com_4322_pos","PE O-18:2_22:6","C45 H76 N O7 P",773.53593,10.346,774.54319,"No results","Full match","No results",NA,NA,NA,NA,33658275.6,26509726.54,26854616.22,14243227,17513951.51,16831645.14,23.9434822849003,24.7810477168297,-0.837565431929402,0.0539037700093472,0.189656313257448,"stable",1.54148464687758
"16α-Hydroxydehydroepiandrosterone","Com_4338_pos","16α-Hydroxydehydroepiandrosterone","C19 H28 O3",299.25452,8.678,322.24377,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",15812369.06,13631828.81,12367855.25,8970435.06499999,12127658.01,11833242.67,23.374962100624,23.7250393295233,-0.350077228899305,0.275953224951947,0.324733679694561,"stable",1.15830423548331
"4-methylphenyl 1-ethyl-3-methyl-1H-pyrazole-5-carbothioate","Com_4344_pos","4-methylphenyl 1-ethyl-3-methyl-1H-pyrazole-5-carbothioate","C14 H16 N2 O S",260.09843,6.075,261.10571,"Full match","No results","No results",NA,NA,NA,NA,3857209.968,5144043.166,3499580.338,1848438.539,6418592.34599999,8450783.79500001,22.1474516245332,21.9707826887003,0.176668935832904,0.818613454875722,0.505087063064247,"stable",0.205616273034446
"SM 34:0;2O","Com_4347_pos","SM 34:0;2O","C39 H81 N2 O6 P",726.56616,8.732,727.57343,"No results","Invalid mass","No results",NA,NA,NA,NA,29127172.23,25774091.21,29622679.05,30414516.3,47579397.54,39556566.18,25.1998347504907,24.7451597736255,0.454674976865139,0.19630429109877,0.277924957455345,"stable",1.23038582568268
"Oxohongdenafil","Com_4438_pos","Oxohongdenafil","C25 H32 N6 O4",960.51102,5.447,481.26279,"Invalid mass","No results","No results","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds","Alkyl-phenylketones",2896484.363,5810066.377,3008546.62,5310114.215,3863847.366,7987985.61000001,22.3837728127945,21.8188766476503,0.564896165144152,0.443896387446988,0.393710477810272,"stable",0.873451465124027
"PS 20:2_20:3","Com_4463_pos","PS 20:2_20:3","C46 H80 N O10 P",837.55198,9.769,838.55925,"No results","Full match","No results",NA,NA,NA,NA,14464750.62,17368740.32,16365528.74,32501974.73,37652353.11,30995740.66,25.001942458638,23.9333949275374,1.06854753110068,0.00489937518975253,0.181487094156115,"up",1.59417033036886
"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","Com_4527_pos","1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",219.12613,6.368,202.12287,"Invalid mass","No results","No results",NA,NA,NA,NA,3614354.117,4004982.364,3782263.632,4498906.011,3897619.872,3268846.487,21.8785516517593,21.8564964616336,0.0220551901256769,0.899882244840089,0.528718573666503,"stable",0.128073184966647
"Ouabain","Com_4541_pos","Ouabain","C29 H44 O12",566.26891,5.55,567.27619,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid lactones","Cardenolide glycosides and derivatives",2535722.788,1497242.515,3601839.842,2737408.505,1230228.92,1529039.594,20.7196896714378,21.1893815650578,-0.469691893620027,0.360920958460558,0.364466037550749,"stable",0.688600021685844
"UR-144 N-(5-Bromopentyl) analog","Com_4545_pos","UR-144 N-(5-Bromopentyl) analog","C21 H28 Br N O",411.11366,5.086,412.12094,"Invalid mass","No results","No results","Organoheterocyclic compounds","Indoles and derivatives","N-alkylindoles","N-alkylindoles",589838.4357,552043.683900001,1213749.3,6329565.772,1357717.456,468382.511,20.6012515444637,19.4851407505034,1.11611079396027,0.505690010945044,0.41124984324043,"stable",0.712107960537003
"22(S)-Hydroxycholesterol","Com_4564_pos","22(S)-Hydroxycholesterol","C27 H46 O2",402.35021,11.252,403.35787,"No results","No results","Full match",NA,NA,NA,NA,486706.741599999,284354.6809,473362.3263,164692.8525,212036.4692,454039.1218,17.9386094672654,18.6208702083704,-0.682260741104962,0.270867739113509,0.321934773156285,"stable",0.910478647782725
"PC O-18:0","Com_4596_pos","PC O-18:0","C26 H54 N O7 P",523.36457,10.117,524.37195,"No results","Full match","Full match",NA,NA,NA,NA,4772202.653,8515413.13499999,4872371.392,3502097.359,3191872.227,6117809.447,21.9634476572258,22.4746872159698,-0.511239558743981,0.417549512569453,0.385226756075131,"stable",0.876503291475932
"LPC 34:2","Com_4636_pos","LPC 34:2","C42 H82 N O7 P",765.56011,11.238,766.56738,"No results","Invalid mass","No results",NA,NA,NA,NA,205897.5463,208629.6278,2078693.051,5237271.164,2576786.232,3547152.258,21.7919183755579,18.76979898213,3.02211939342796,0.122013207298205,0.230689373393874,"stable",1.29855262430046
"PC O-33:4","Com_4644_pos","PC O-33:4","C41 H76 N O7 P",725.5355,10.802,726.54278,"No results","Full match","No results",NA,NA,NA,NA,7195999.28499999,7751075.08900001,7081174.36099999,6725116.11099999,7642664.532,7831043.49600001,22.8158483838301,22.8067619402096,0.00908644362054289,0.910661186823574,0.531684453789816,"stable",0.0935249053788858
"4-Methyl-2-Oxopentanoic Acid","Com_4664_pos","4-Methyl-2-Oxopentanoic Acid","C6 H10 O3",130.06357,3.551,131.07085,"No results","No results","Full match",NA,NA,NA,NA,319807.8475,332441.2369,71248.6313699999,1506961.098,186479.3534,1263102.012,19.4334689516709,17.5833867730437,1.85008217862721,0.330410092425474,0.351565553918894,"stable",0.989728502510823
"ILK","Com_4697_pos","ILK","C18 H36 N4 O4",186.13718,4.724,187.14442,"Invalid mass","No results","No results",NA,NA,NA,NA,4263214.823,7726525.558,3325154.182,2069500.88,3386026.778,2525207.451,21.3133279552598,22.1899628376469,-0.876634882387073,0.0692688949865271,0.199730612860183,"stable",1.18313136192925
"3-Methoxy prostaglandin F1α","Com_4719_pos","3-Methoxy prostaglandin F1α","C21 H38 O6",408.24513,8.852,409.25241,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Prostaglandins and related compounds",603405.9589,596250.797399999,553150.3901,455454.420899999,554757.553000001,512178.9551,18.9482444961817,19.1552138100781,-0.206969313896398,0.172887448538711,0.262129897400917,"stable",1.22159436495829
"Paraxanthine","Com_4734_pos","Paraxanthine","C7 H8 N4 O2",180.06345,1.722,198.09721,"Invalid mass","No match","No match","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","Xanthines",22016218.16,22923304.52,22884640.03,15203329.57,12692816.82,12121135.78,23.6621381550661,24.4300837646521,-0.767945609586022,0.0229316604513387,0.187195322268114,"down",1.57637908542511
"3,5-di(2-furylmethylidene)tetrahydro-2H-pyran-4-one","Com_4794_pos","3,5-di(2-furylmethylidene)tetrahydro-2H-pyran-4-one","C15 H12 O4",256.0696,2.404,257.07688,"Invalid mass","No results","No results",NA,NA,NA,NA,8492375.16100001,8104133.21,7862586.281,9144830.75400001,16481020.79,1707757.508,22.600833003176,22.9581785484747,-0.35734554529871,0.745464433035994,0.481694280121349,"stable",0.292369207578461
"Scopolamine","Com_4826_pos","Scopolamine","C17 H21 N O4",303.15094,6.247,304.15822,"Invalid mass","No results","No results","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives","Beta hydroxy acids and derivatives",577214.629500001,489072.8426,589310.3604,409477.0679,430714.7627,522239.5082,18.7847161526982,19.0690354249764,-0.284319272278218,0.114578192806731,0.226538991760517,"stable",1.17551900957843
"CAR 18:1","Com_4846_pos","CAR 18:1","C25 H48 N O4",443.36168,8.54,426.35843,"No results","Invalid mass","No results",NA,NA,NA,NA,20865368.38,16863028.57,12388156.19,3161566.946,5551383.278,10158129.89,22.4242519004181,23.9614751757157,-1.53722327529756,0.160662403943732,0.253870182406684,"stable",1.3399291366804
"PC 34:2","Com_4877_pos","PC 34:2","C42 H80 N O8 P",779.54448,9.041,780.55176,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",118873241,109727274.1,108689080.3,67100862.16,82110919.09,71331518.6599999,26.1263116896875,26.7432758149756,-0.616964125288121,0.0344153476572936,0.187730637809034,"down",1.5576746194306
"L-Tryptophan","Com_4890_pos","L-Tryptophan","C11 H12 N2 O2",204.09439,6.753,205.10167,"No results","Invalid mass","No results","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives",6396745.527,2744542.812,4011088.3,4074321.851,5561544.785,4677322.557,22.1741447486268,21.9775344565292,0.196610292097617,0.722951785955395,0.474043227720004,"stable",0.412281880046725
"N4-(4-chloro-2,5-dimethoxyphenyl)morpholine-4-carbothioamide","Com_4928_pos","N4-(4-chloro-2,5-dimethoxyphenyl)morpholine-4-carbothioamide","C13 H17 Cl N2 O3 S",332.03653,1.343,333.04355,"Invalid mass","No results","No results",NA,NA,NA,NA,991095.4992,1839907.54,1889315.784,1903920.967,849753.7347,934325.8134,20.1302645451299,20.5264329390345,-0.396168393904684,0.614068688985433,0.440925153010023,"stable",0.625551664654809
"Heptadecanoic Acid","Com_5018_pos","Heptadecanoic Acid","C17 H34 O2",292.23439,6.943,293.24165,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates","Long-chain fatty acids",9304044.718,6365824.314,5458084.782,3573687.292,5952398.26000001,5408525.229,22.2136084750283,22.7104352949935,-0.49682681996515,0.37818638158733,0.371200111527653,"stable",0.997147205049968
"Norlidocaine","Com_5020_pos","Norlidocaine","C12 H18 N2 O",206.14228,5.393,207.14957,"Full match","No results","No results","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Alpha amino acid amides",3127023.105,3141838.867,3196478.159,3949371.678,4901407.791,3747058.958,21.991761238403,21.5891960051459,0.402565233257008,0.0825939654824976,0.208379352953531,"stable",1.40381481028045
"LPE 38:6","Com_5025_pos","LPE 38:6","C43 H76 N O7 P",749.53583,10.16,750.54319,"No results","Full match","No results",NA,NA,NA,NA,12000238.85,9911759.975,8574844.229,12629659.9,10713185.13,8525052.41099999,23.322157953928,23.2629828796151,0.0591750743128863,0.238021568778769,0.302416643279904,"stable",0.221076377817279
"Zaleplon-d4","Com_5091_pos","Zaleplon-d4","C17 H11 [2]H4 N5 O",309.14831,5.518,310.15558,"Invalid mass","No results","No results",NA,NA,NA,NA,580863.3567,546644.8164,526943.7663,441533.1083,522486.8541,465768.1601,18.8588166016451,19.0717909995121,-0.212974397866997,0.1592602697094,0.253032704122618,"stable",1.28871985522368
"(-)-Epigallocatechin","Com_5117_pos","(-)-Epigallocatechin","C15 H14 O7",634.13396,1.92,635.14123,"Invalid mass","No results","No results","Phenylpropanoids and polyketides","Flavonoids","Flavans","Epigallocatechins",7445064.424,2636293.944,8340477.107,7882560.39300001,16936125.86,9812279.18999999,23.383330100212,22.3832103975996,1.00011970261237,0.357233301570529,0.362977100828647,"stable",1.02146365933013
"Quinidine","Com_5129_pos","Quinidine","C20 H24 N2 O2",302.19991,5.93,325.18915,"Invalid mass","No results","No results","Alkaloids and derivatives","Cinchona alkaloids","Not available","Cinchona alkaloids",529566.6071,481602.2482,487725.2671,397302.5162,460543.068,403314.3054,18.6781333364572,18.929214805897,-0.251081469439814,0.13230615364464,0.236448530841331,"stable",1.37419988976139
"Methandrostenolone","Com_5226_pos","Methandrostenolone","C20 H28 O2",300.20937,9.046,323.19858,"No results","No results","Full match","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids","Androgens and derivatives",5449348.686,5631057.287,6756138.10300001,5643510.23699999,5219570.12000001,3940362.323,22.2178525952572,22.4967980539978,-0.27894545874058,0.38621290623073,0.374203868049729,"stable",0.983001993688841
"PC 16:0_17:1","Com_5274_pos","PC 16:0_17:1","C41 H80 N O8 P",745.55979,10.074,746.56707,"No results","Full match","No results",NA,NA,NA,NA,49689912.88,33156753,5449005.02,11669508.21,13058226.74,13137579.26,23.5872974069135,24.3089368208753,-0.721639413961807,0.552119530403136,0.42346861663228,"stable",0.562438543503307
"3-(dimethylamino)-1-(5-methyl-3-phenyl-4-isoxazolyl)-2-propen-1-one","Com_5282_pos","3-(dimethylamino)-1-(5-methyl-3-phenyl-4-isoxazolyl)-2-propen-1-one","C15 H16 N2 O2",278.10056,1.667,279.10779,"Invalid mass","No results","No results",NA,NA,NA,NA,11780305.61,14551097.27,16704069.61,22711675.43,30705039.16,16455039.5,24.4269763540774,23.7593981788343,0.667578175243047,0.194003295053506,0.276466181377057,"stable",1.21581030104119
"16(R)-HETE","Com_5314_pos","16(R)-HETE","C20 H32 O3",342.21758,8.097,343.22486,"Invalid mass","No results","No results","Lipids and lipid-like molecules","Fatty Acyls","Eicosanoids","Hydroxyeicosatetraenoic acids",6848637.423,7287617.62000001,6608384.65200001,7518252.02600001,9482855.629,5510029.96199999,22.8041615739155,22.7200892062342,0.0840723676812942,0.697145369463048,0.464990110924887,"stable",0.292400061196702
"PC 38:3","Com_5341_pos","PC 38:3","C46 H86 N O8 P",833.59118,11.737,834.59845,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",11588973.98,12068430.76,11887571.01,7331117.64099999,8702462.15700001,8150559.47599999,22.9390205309471,23.4979782975532,-0.558957766606159,0.00954723159907027,0.184979214787925,"down",1.57615064708273
"4-{3-[(3,4-dihydroxyphenyl)methyl]-2-methylbutyl}benzene-1,2-diol","Com_5348_pos","4-{3-[(3,4-dihydroxyphenyl)methyl]-2-methylbutyl}benzene-1,2-diol","C18 H22 O4",302.15037,6.26,303.15766,"Full match","No results","No results",NA,NA,NA,NA,1952013.911,713493.6451,2349832.561,1221095.82,1350218.939,452907.4504,19.7911212197715,20.5017331625359,-0.710611942764437,0.533015803010056,0.418109422537494,"stable",0.710704787730653
"4-(cyclohexylmethyl)-6-(2-thienyl)-2,3-dihydropyridazin-3-one hydrate","Com_5372_pos","4-(cyclohexylmethyl)-6-(2-thienyl)-2,3-dihydropyridazin-3-one hydrate","C15 H18 N2 O S",137.05965,4.818,297.10867,"Invalid mass","No results","No results",NA,NA,NA,NA,3708865.882,4291051.272,6532484.183,8623541.84999999,5551913.30499999,7403003.411,22.7546939913651,22.1648822241771,0.589811767188007,0.205305683019133,0.28345375604694,"stable",1.12842915022006
"FRH","Com_5379_pos","FRH","C21 H30 N8 O4",458.24154,9.518,459.24882,"Invalid mass","No results","No match",NA,NA,NA,NA,3080344.912,2716311.788,1333074.958,1215885.932,1170525.96,3130385.798,20.6500703327247,21.0914015335269,-0.441331200802157,0.650743728088177,0.451698352697163,"stable",0.564902170611535
"N-Acetylsphingosine","Com_5395_pos","N-Acetylsphingosine","C20 H39 N O3",341.29336,7.728,364.28256,"Full match","No results","No results","Lipids and lipid-like molecules","Sphingolipids","Ceramides","Ceramides",496977.2352,508795.1357,578281.6221,454818.8465,513061.3233,429355.8671,18.8251728799062,19.0069861077988,-0.181813227892601,0.297690524806963,0.336098227183146,"stable",1.0866238789973
"LNK","Com_5513_pos","LNK","C16 H31 N5 O5",373.23702,6.758,374.24426,"Invalid mass","No results","No results",NA,NA,NA,NA,372822.0249,333416.475,347812.2252,278823.402,323032.0847,285423.2108,18.1710177343166,18.4210141836146,-0.249996449297939,0.149331847489527,0.246829565232345,"stable",1.36882313998423
"2-(4-fluorophenyl)quinoline","Com_5536_pos","2-(4-fluorophenyl)quinoline","C15 H10 F N",223.07662,7.093,224.0839,"Invalid mass","No results","No results",NA,NA,NA,NA,3809586.516,4322807.76,3277272.852,4145021.079,3625129.809,3029895.874,21.7677953390621,21.8496015324494,-0.0818061933873508,0.533172870139635,0.41814744586006,"stable",0.371922317585351
"2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid","Com_5552_pos","2-(2-amino-3-methylbutanamido)-3-phenylpropanoic acid","C14 H20 N2 O3",264.14775,5.413,265.15502,"Full match","No results","Full match",NA,NA,NA,NA,2084113.682,2192025.536,3027040.376,3671463.415,3031624.998,3490090.146,21.6914721801389,21.1947707353288,0.496701444810064,0.107126302776581,0.221979991486238,"stable",1.30050647165061
"2-chloro-6-(3,5-dimethyl-1H-pyrazol-1-yl)benzonitrile","Com_5564_pos","2-chloro-6-(3,5-dimethyl-1H-pyrazol-1-yl)benzonitrile","C12 H10 Cl N3",231.05441,1.405,232.06168,"Invalid mass","No results","No results",NA,NA,NA,NA,9183965.65099999,13291189.01,9769352.27799999,10962431.01,6688226.129,7357303.47000001,22.9566674306941,23.3381613778053,-0.381493947111199,0.400343589913843,0.379308421455387,"stable",0.932465866791804
"LPC 15:0-SN1","Com_5567_pos","LPC 15:0-SN1","C23 H48 N O7 P",481.31746,9.097,482.32481,"No results","Full match","Full match",NA,NA,NA,NA,1280052.899,1086765.151,770709.979899999,394879.8839,583547.3912,1662698.329,19.4702132188037,19.9650697754118,-0.494856556608109,0.613351795426943,0.440735893372703,"stable",0.57569035382746
"2-mercapto-5-methyl-6-propylpyrimidin-4-ol","Com_5729_pos","2-mercapto-5-methyl-6-propylpyrimidin-4-ol","C8 H12 N2 O S",184.07018,1.258,185.07746,"Invalid mass","No results","No results",NA,NA,NA,NA,4742646.011,4490668.14300001,3353926.033,4440574.099,3255305.585,694187.001199999,21.0405470502391,21.9843929608439,-0.943845910604832,0.295747713337041,0.335120169381188,"stable",0.796953072792501
"7-(2-aminophenyl)heptanoic acid","Com_5730_pos","7-(2-aminophenyl)heptanoic acid","C13 H19 N O2",221.13938,5.948,222.14666,"Invalid mass","No results","No results",NA,NA,NA,NA,4296385.529,4520021.478,3786864.412,4049712.911,4855171.002,3485660.323,21.9644931467526,21.9983875198769,-0.0338943731242303,0.672955897466947,0.458131009576967,"stable",0.174233824128108
"PC 36:5","Com_5736_pos","PC 36:5","C44 H78 N O8 P",784.49843,10.433,785.50672,"No results","Invalid mass","No results","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines","Phosphocholines",720287.2504,663412.251800001,652364.102100001,535964.8536,643144.512199999,573877.8708,19.1523155024067,19.3710256144735,-0.218710112066862,0.188756260806983,0.273067135906242,"stable",1.26743934300323
"6-phenyl-3,4-dihydro-1H-2,5-benzoxazocin-1-one","Com_5834_pos","6-phenyl-3,4-dihydro-1H-2,5-benzoxazocin-1-one","C16 H13 N O2",251.09835,6.109,252.10563,"Invalid mass","No results","No results",NA,NA,NA,NA,677199.1082,1253497.187,1982368.035,2148777.781,1208831.168,403249.447,19.9538597413392,20.1818470916181,-0.227987350278834,0.860875172172356,0.517664262515582,"stable",0.219689946719188
"Trigonelline","Com_5854_pos","Trigonelline","C7 H7 N O2",137.04539,1.6,138.05267,"Invalid mass","No results","No results","Alkaloids and derivatives","Not available","Not available","Alkaloids and derivatives",4474468.53,4057233.395,4094965.471,4058171.318,4159553.894,6169642.51999999,22.1657170625964,22.0035898745052,0.162127188091215,0.538856502891442,0.419515350786656,"stable",0.610146330800725
"Bilirubin","Com_5885_pos","Bilirubin","C33 H36 N4 O6",584.264,10.928,585.27131,"Full match","No results","Full match","Organoheterocyclic compounds","Tetrapyrroles and derivatives","Bilirubins","Bilirubins",584620.274100001,1263580.067,641457.4378,225888.2497,224479.5243,589540.1903,18.2435682249297,19.5724066685669,-1.32883844363716,0.191856580346995,0.275087880301624,"stable",1.22785908485717
